#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
APC 172 48 20 200 3.45468558091e-53 6.90937116181e-53 35.8333333333 52.4616
TP53 119 101 0 220 2.92335985382e-46 5.84671970764e-46 inf 45.5341
KRAS 96 124 2 218 3.71216952322e-32 7.42433904644e-32 84.3870967742 31.4304
PIK3CA 65 155 1 219 4.05462980765e-21 8.1092596153e-21 91.8387096774 20.392
BRAF 35 185 0 220 6.69775734944e-12 1.33955146989e-11 inf 11.1741
SMAD4 31 189 1 219 2.64127752583e-09 5.28255505166e-09 35.9206349206 8.57819
SOX9 24 196 0 220 3.07139671536e-08 6.14279343073e-08 inf 7.51266
FAT4 73 147 26 194 4.90586692228e-08 9.81173384456e-08 3.70538984825 7.30928
CSMD3 52 168 13 207 7.87883653915e-08 1.57576730783e-07 4.92857142857 7.10354
ARID1A 32 188 4 216 3.78034408748e-07 7.56068817496e-07 9.1914893617 6.42247
FBXW7 27 193 2 218 3.90047623966e-07 7.80095247932e-07 15.2487046632 6.40888
SYNE1 99 121 50 170 5.68061213985e-07 1.13612242797e-06 2.78181818182 6.2456
PTEN 19 201 0 220 1.27110994184e-06 2.54221988369e-06 inf 5.89582
RYR2 80 140 37 183 2.44759186547e-06 4.89518373094e-06 2.82625482625 5.61126
USP9X 24 196 2 218 2.9920214629e-06 5.9840429258e-06 13.3469387755 5.52404
GRIK2 28 192 4 216 4.87094686265e-06 9.7418937253e-06 7.875 5.31239
AMER1 28 192 4 216 4.87094686265e-06 9.7418937253e-06 7.875 5.31239
CDH10 17 203 0 220 5.53335490607e-06 1.10667098121e-05 inf 5.25701
ZFHX4 58 162 22 198 5.8185173726e-06 1.16370347452e-05 3.22222222222 5.23519
TTN 180 40 139 81 8.54285184229e-06 1.70857036846e-05 2.62230215827 5.0684
LRRK2 36 184 9 211 1.32885508322e-05 2.65771016643e-05 4.58695652174 4.87652
DOCK3 28 192 5 215 1.7612780652e-05 3.5225561304e-05 6.27083333333 4.75417
RNF43 45 175 15 205 2.07862041415e-05 4.15724082829e-05 3.51428571429 4.68222
CTNNA2 21 199 2 218 2.18393829842e-05 4.36787659685e-05 11.5025125628 4.66076
KCNB1 15 205 0 220 2.38429113839e-05 4.76858227678e-05 inf 4.62264
DSCAM 33 187 8 212 2.60619239153e-05 5.21238478307e-05 4.67647058824 4.58399
SALL4 18 202 1 219 2.75742760651e-05 5.51485521302e-05 19.5148514851 4.5595
CTNNB1 18 202 1 219 2.75742760651e-05 5.51485521302e-05 19.5148514851 4.5595
MAP1B 25 195 4 216 3.08904165758e-05 6.17808331517e-05 6.92307692308 4.51018
TRPS1 27 193 5 215 3.18070514537e-05 6.36141029073e-05 6.01554404145 4.49748
ACVR2A 20 200 2 218 4.18560954693e-05 8.37121909386e-05 10.9 4.37824
GRIA2 14 206 0 220 4.93062148036e-05 9.86124296072e-05 inf 4.3071
GLUD2 14 206 0 220 4.93062148036e-05 9.86124296072e-05 inf 4.3071
DCAF4L2 14 206 0 220 4.93062148036e-05 9.86124296072e-05 inf 4.3071
CACNA1E 30 190 7 213 5.03439786371e-05 0.000100687957274 4.8045112782 4.29805
SCN1A 22 198 3 217 5.15635179233e-05 0.000103127035847 8.03703703704 4.28766
CNTNAP5 22 198 3 217 5.15635179233e-05 0.000103127035847 8.03703703704 4.28766
GRM5 17 203 1 219 5.44571075035e-05 0.000108914215007 18.3399014778 4.26395
