#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
TP53 119 101 0 220 2.92335985382e-46 5.84671970764e-46 inf 45.5341
APC 175 45 33 187 5.80581977415e-45 1.16116395483e-44 22.037037037 44.2361
KRAS 96 124 2 218 3.71216952322e-32 7.42433904644e-32 84.3870967742 31.4304
PIK3CA 65 155 1 219 4.05462980765e-21 8.1092596153e-21 91.8387096774 20.392
BRAF 35 185 0 220 6.69775734944e-12 1.33955146989e-11 inf 11.1741
SMAD4 31 189 1 219 2.64127752583e-09 5.28255505166e-09 35.9206349206 8.57819
SOX9 24 196 0 220 3.07139671536e-08 6.14279343073e-08 inf 7.51266
PTEN 19 201 0 220 1.27110994184e-06 2.54221988369e-06 inf 5.89582
FBXW7 29 191 4 216 2.59561940026e-06 5.19123880052e-06 8.19895287958 5.58576
USP9X 24 196 2 218 2.9920214629e-06 5.9840429258e-06 13.3469387755 5.52404
AMER1 28 192 4 216 4.87094686265e-06 9.7418937253e-06 7.875 5.31239
CDH10 17 203 0 220 5.53335490607e-06 1.10667098121e-05 inf 5.25701
ARID1A 38 182 10 210 1.15368877749e-05 2.30737755497e-05 4.38461538462 4.93791
CSMD3 64 156 28 192 1.71640213584e-05 3.43280427168e-05 2.81318681319 4.76538
DOCK3 28 192 5 215 1.7612780652e-05 3.5225561304e-05 6.27083333333 4.75417
CTNNB1 18 202 1 219 2.75742760651e-05 5.51485521302e-05 19.5148514851 4.5595
TRPS1 27 193 5 215 3.18070514537e-05 6.36141029073e-05 6.01554404145 4.49748
ACVR2A 20 200 2 218 4.18560954693e-05 8.37121909386e-05 10.9 4.37824
HNRNPL 14 206 0 220 4.93062148036e-05 9.86124296072e-05 inf 4.3071
GRIA2 14 206 0 220 4.93062148036e-05 9.86124296072e-05 inf 4.3071
RNF43 49 171 19 201 5.35409054309e-05 0.000107081810862 3.03139427516 4.27131
GRIK2 33 187 9 211 6.67370332013e-05 0.000133474066402 4.13725490196 4.17563
SLC8A2 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
GRM7 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
BRINP3 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
CTNNA2 23 197 4 216 0.000101981775591 0.000203963551183 6.30456852792 3.99148
GABRA5 16 204 1 219 0.000106978194851 0.000213956389702 17.1764705882 3.9707
ZNF814 53 167 23 197 0.000110572372585 0.00022114474517 2.71830252538 3.95635
ERBB4 18 202 2 218 0.000150718077559 0.000301436155118 9.71287128713 3.82183
SCN1A 24 196 5 215 0.00017854113267 0.00035708226534 5.26530612245 3.74826
FAT4 122 98 84 136 0.000197896953737 0.000395793907473 2.01554907677 3.70356
DCAF4L2 15 205 1 219 0.000208976105659 0.000417952211318 16.0243902439 3.6799
FGD1 12 208 0 220 0.000209285734686 0.000418571469372 inf 3.67926
DNM3 12 208 0 220 0.000209285734686 0.000418571469372 inf 3.67926
ROBO2 34 186 11 209 0.000212794744758 0.000425589489515 3.47311827957 3.67204
PCDH10 27 193 7 213 0.000254010414254 0.000508020828507 4.25684678016 3.59515
PCDH17 32 188 10 210 0.000258472574952 0.000516945149904 3.57446808511 3.58759
LRFN5 17 203 2 218 0.00028296117473 0.00056592234946 9.12807881773 3.54827
GLTSCR1 17 203 2 218 0.00028296117473 0.00056592234946 9.12807881773 3.54827
MTOR 25 195 6 214 0.000285921081975 0.00057184216395 4.57264957265 3.54375
BRWD3 19 201 3 217 0.000319368062924 0.000638736125848 6.83747927032 3.49571
TRRAP 21 199 4 216 0.000325804048611 0.000651608097223 5.69849246231 3.48704
IGSF9B 21 199 4 216 0.000325804048611 0.000651608097223 5.69849246231 3.48704
RYR2 90 130 56 164 0.0004026358028 0.0008052716056 2.02747252747 3.39509
SMC1A 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
SLC4A10 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
MED12 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
MAP2K7 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
KCNA1 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
HCN1 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
ARHGAP36 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
DSCAML1 24 196 6 214 0.000487493969266 0.000974987938533 4.36734693878 3.31203
TRHDE 16 204 2 218 0.000527146893629 0.00105429378726 8.54901960784 3.27807
CDH18 16 204 2 218 0.000527146893629 0.00105429378726 8.54901960784 3.27807
NYAP2 20 200 4 216 0.000574595058051 0.0011491901161 5.4 3.24064
AR 36 184 14 206 0.000701429924989 0.00140285984998 2.87888198758 3.15402
DSCAM 47 173 22 198 0.000757545899915 0.00151509179983 2.4450867052 3.12059
XKR6 13 207 1 219 0.000782944579998 0.00156588915999 13.7536231884 3.10627
GABBR2 13 207 1 219 0.000782944579998 0.00156588915999 13.7536231884 3.10627
AP2A2 13 207 1 219 0.000782944579998 0.00156588915999 13.7536231884 3.10627
KMT2B 56 164 29 191 0.000793702726302 0.0015874054526 2.24894869638 3.10034
USP7 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
PAX6 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
NR2E1 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
MCTP1 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
MARCH4 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
MAP2K4 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
GRIN2B 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
GABRA1 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
SLITRK2 15 205 2 218 0.00097396043672 0.00194792087344 7.9756097561 3.01146
PYGB 15 205 2 218 0.00097396043672 0.00194792087344 7.9756097561 3.01146
