#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
APC	169	51	11	209	5.4374589181e-60	1.08749178362e-59	62.9607843137	59.2646
TP53	119	101	0	220	2.92335985382e-46	5.84671970764e-46	inf	45.5341
KRAS	96	124	2	218	3.71216952322e-32	7.42433904644e-32	84.3870967742	31.4304
PIK3CA	65	155	1	219	4.05462980765e-21	8.1092596153e-21	91.8387096774	20.392
BRAF	35	185	0	220	6.69775734944e-12	1.33955146989e-11	inf	11.1741
RYR2	58	162	9	211	1.42111054831e-11	2.84222109661e-11	8.39368998628	10.8474
FAT4	65	155	15	205	2.26069189325e-10	4.52138378649e-10	5.7311827957	9.64576
CSMD3	45	175	5	215	2.81693205767e-10	5.63386411534e-10	11.0571428571	9.55022
TTN	161	59	97	123	3.94083446117e-10	7.88166892233e-10	3.46024812161	9.40441
SMAD4	31	189	1	219	2.64127752583e-09	5.28255505166e-09	35.9206349206	8.57819
SYNE1	80	140	28	192	4.84449583867e-09	9.68899167734e-09	3.91836734694	8.31475
SOX9	24	196	0	220	3.07139671536e-08	6.14279343073e-08	inf	7.51266
ARID1A	31	189	3	217	1.50131277901e-07	3.00262555801e-07	11.8641975309	6.82353
UNC13C	30	190	3	217	2.94138748648e-07	5.88277497297e-07	11.4210526316	6.53145
FBXW7	27	193	2	218	3.90047623966e-07	7.80095247932e-07	15.2487046632	6.40888
ZFHX4	53	167	16	204	7.30464422829e-07	1.46092884566e-06	4.04640718563	6.1364
PTEN	19	201	0	220	1.27110994184e-06	2.54221988369e-06	inf	5.89582
NBEA	19	201	0	220	1.27110994184e-06	2.54221988369e-06	inf	5.89582
RNF43	38	182	8	212	1.50920418778e-06	3.01840837556e-06	5.53296703297	5.82125
DOCK3	25	195	2	218	1.52512048777e-06	3.05024097555e-06	13.9743589744	5.8167
USP9X	24	196	2	218	2.9920214629e-06	5.9840429258e-06	13.3469387755	5.52404
CACNA1E	26	194	3	217	4.09454587723e-06	8.18909175446e-06	9.6941580756	5.38779
GRIK2	28	192	4	216	4.87094686265e-06	9.7418937253e-06	7.875	5.31239
AMER1	28	192	4	216	4.87094686265e-06	9.7418937253e-06	7.875	5.31239
LRRK2	34	186	7	213	5.18366241656e-06	1.03673248331e-05	5.56221198157	5.28536
DNAH1	34	186	7	213	5.18366241656e-06	1.03673248331e-05	5.56221198157	5.28536
CDH10	17	203	0	220	5.53335490607e-06	1.10667098121e-05	inf	5.25701
MAP1B	23	197	2	218	5.83761460793e-06	1.16752292159e-05	12.7258883249	5.23376
LRP1B	44	176	13	207	6.81677210746e-06	1.36335442149e-05	3.98076923077	5.16642
SCN1A	20	200	1	219	6.9645782935e-06	1.3929156587e-05	21.9	5.15711
DSCAML1	20	200	1	219	6.9645782935e-06	1.3929156587e-05	21.9	5.15711
CTNNA2	20	200	1	219	6.9645782935e-06	1.3929156587e-05	21.9	5.15711
CNTNAP5	20	200	1	219	6.9645782935e-06	1.3929156587e-05	21.9	5.15711
XIRP2	35	185	8	212	8.53018996779e-06	1.70603799356e-05	5.01351351351	5.06904
KMT2D	45	175	14	206	9.37204137611e-06	1.87440827522e-05	3.78367346939	5.02817
DNAH11	54	166	20	200	9.96341874482e-06	1.99268374896e-05	3.25301204819	5.00159
FAT3	55	165	21	199	1.23720950461e-05	2.47441900922e-05	3.15873015873	4.90756
ZNF536	24	196	3	217	1.47272292639e-05	2.94544585278e-05	8.85714285714	4.83188
GLI3	24	196	3	217	1.47272292639e-05	2.94544585278e-05	8.85714285714	4.83188
DNAH2	44	176	14	206	1.56540078827e-05	3.13080157653e-05	3.67857142857	4.80537
DNAH5	53	167	20	200	1.61341312228e-05	3.22682624456e-05	3.17365269461	4.79225
DSCAM	32	188	7	213	1.64083011881e-05	3.28166023762e-05	5.17933130699	4.78494
TSHZ3	26	194	4	216	1.68079151868e-05	3.36158303736e-05	7.23711340206	4.77449
ROBO2	30	190	6	214	1.73814882518e-05	3.47629765037e-05	5.63157894737	4.75991
SPTA1	37	183	10	210	1.97781445888e-05	3.95562891777e-05	4.24590163934	4.70381
PCLO	54	166	21	199	1.98850509075e-05	3.97701018151e-05	3.082616179	4.70147
PCDHA2	21	199	2	218	2.18393829842e-05	4.36787659685e-05	11.5025125628	4.66076
MTOR	21	199	2	218	2.18393829842e-05	4.36787659685e-05	11.5025125628	4.66076
NOS3	15	205	0	220	2.38429113839e-05	4.76858227678e-05	inf	4.62264
KCNB1	15	205	0	220	2.38429113839e-05	4.76858227678e-05	inf	4.62264
RYR3	52	168	20	200	2.59210301472e-05	5.18420602944e-05	3.09523809524	4.58635
SALL4	18	202	1	219	2.75742760651e-05	5.51485521302e-05	19.5148514851	4.5595
CTNNB1	18	202	1	219	2.75742760651e-05	5.51485521302e-05	19.5148514851	4.5595
PCDH10	23	197	3	217	2.76538287199e-05	5.53076574397e-05	8.44500846024	4.55824
NAV3	23	197	3	217	2.76538287199e-05	5.53076574397e-05	8.44500846024	4.55824
OBSCN	89	131	49	171	2.82960661368e-05	5.65921322737e-05	2.37093005141	4.54827
COL11A1	25	195	4	216	3.08904165758e-05	6.17808331517e-05	6.92307692308	4.51018
UNC80	27	193	5	215	3.18070514537e-05	6.36141029073e-05	6.01554404145	4.49748
TRPS1	27	193	5	215	3.18070514537e-05	6.36141029073e-05	6.01554404145	4.49748
COL12A1	36	184	10	210	3.36352347059e-05	6.72704694118e-05	4.10869565217	4.47321
ATM	39	181	12	208	3.92538225957e-05	7.85076451915e-05	3.73480662983	4.40612
PCDH9	20	200	2	218	4.18560954693e-05	8.37121909386e-05	10.9	4.37824
GNAS	20	200	2	218	4.18560954693e-05	8.37121909386e-05	10.9	4.37824
ACVR2A	20	200	2	218	4.18560954693e-05	8.37121909386e-05	10.9	4.37824
CSMD2	37	183	11	209	4.74987356905e-05	9.4997471381e-05	3.84153005464	4.32332
GRIA2	14	206	0	220	4.93062148036e-05	9.86124296072e-05	inf	4.3071
GLUD2	14	206	0	220	4.93062148036e-05	9.86124296072e-05	inf	4.3071
DCAF4L2	14	206	0	220	4.93062148036e-05	9.86124296072e-05	inf	4.3071
MYCBP2	30	190	7	213	5.03439786371e-05	0.000100687957274	4.8045112782	4.29805
ATRX	22	198	3	217	5.15635179233e-05	0.000103127035847	8.03703703704	4.28766
NRXN2	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
GRM5	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
ERBB4	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
ADGRL3	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
PCDH17	28	192	6	214	5.46329734184e-05	0.000109265946837	5.20138888889	4.26255
HECW1	24	196	4	216	5.63474365921e-05	0.000112694873184	6.61224489796	4.24913
KMT2B	35	185	10	210	5.67314704545e-05	0.000113462940909	3.97297297297	4.24618
EYS	35	185	10	210	5.67314704545e-05	0.000113462940909	3.97297297297	4.24618
RIMS2	26	194	5	215	5.69945654921e-05	0.000113989130984	5.76288659794	4.24417
DOCK2	26	194	5	215	5.69945654921e-05	0.000113989130984	5.76288659794	4.24417
RYR1	53	167	22	198	6.0189993757e-05	0.000120379987514	2.85628742515	4.22048
ZFHX3	38	182	12	208	6.4968230046e-05	0.000129936460092	3.61904761905	4.1873
DST	54	166	23	197	7.14719695261e-05	0.000142943939052	2.78627553693	4.14586
IGSF9B	19	201	2	218	7.96986364859e-05	0.000159397272972	10.3034825871	4.09855
MUC16	100	120	61	159	8.05159626692e-05	0.000161031925338	2.17213114754	4.09412
SDK1	48	172	19	201	8.46201456823e-05	0.000169240291365	2.95226438188	4.07253
TENM1	27	193	6	214	9.5681270061e-05	0.000191362540122	4.9896373057	4.01917
ADGB	25	195	5	215	0.000101302923521	0.000202605847042	5.51282051282	3.99438
TRPC4	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
STAG1	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
SLC8A2	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
MAP1S	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
KCNH1	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
GRM7	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
