#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
TP53	97	123	0	220	6.81458841473e-36	1.36291768295e-35	inf	35.1666
KRAS	96	124	2	218	3.71216952322e-32	7.42433904644e-32	84.3870967742	31.4304
PIK3CA	64	156	1	219	9.60125286651e-21	1.9202505733e-20	89.8461538462	20.0177
BRAF	32	188	0	220	6.90553952665e-11	1.38110790533e-10	inf	10.1608
RYR2	53	167	9	211	4.21113526254e-10	8.42227052508e-10	7.44045242848	9.3756
FAT4	58	162	14	206	6.09777147253e-09	1.21955429451e-08	5.26807760141	8.21483
TTN	154	66	95	125	9.89272224404e-09	1.97854444881e-08	3.0701754386	8.00468
SYNE1	77	143	28	192	2.58698542135e-08	5.17397084269e-08	3.69230769231	7.58721
CSMD3	37	183	5	215	6.31310450133e-08	1.26262090027e-07	8.69398907104	7.19976
SMAD4	25	195	1	219	2.06255390871e-07	4.12510781741e-07	28.0769230769	6.68559
ZFHX4	47	173	15	205	7.5488430382e-06	1.50976860764e-05	3.71290944123	5.12212
DNAH1	33	187	7	213	9.25746953828e-06	1.85149390766e-05	5.36974789916	5.03351
FAT3	52	168	19	201	1.29153289099e-05	2.58306578197e-05	3.27443609023	4.88889
ZNF536	24	196	3	217	1.47272292639e-05	2.94544585278e-05	8.85714285714	4.83188
CACNA1E	24	196	3	217	1.47272292639e-05	2.94544585278e-05	8.85714285714	4.83188
TSHZ3	26	194	4	216	1.68079151868e-05	3.36158303736e-05	7.23711340206	4.77449
TRPS1	26	194	4	216	1.68079151868e-05	3.36158303736e-05	7.23711340206	4.77449
USP9X	21	199	2	218	2.18393829842e-05	4.36787659685e-05	11.5025125628	4.66076
TCF7L2	15	205	0	220	2.38429113839e-05	4.76858227678e-05	inf	4.62264
NBEA	15	205	0	220	2.38429113839e-05	4.76858227678e-05	inf	4.62264
OBSCN	88	132	48	172	2.63462350363e-05	5.26924700727e-05	2.38888888889	4.57928
CTNNB1	18	202	1	219	2.75742760651e-05	5.51485521302e-05	19.5148514851	4.5595
DNAH11	50	170	19	201	3.35989044445e-05	6.7197808889e-05	3.11145510836	4.47367
SPTA1	36	184	10	210	3.36352347059e-05	6.72704694118e-05	4.10869565217	4.47321
GNAS	20	200	2	218	4.18560954693e-05	8.37121909386e-05	10.9	4.37824
DCAF4L2	14	206	0	220	4.93062148036e-05	9.86124296072e-05	inf	4.3071
UNC13C	22	198	3	217	5.15635179233e-05	0.000103127035847	8.03703703704	4.28766
DNAH2	40	180	13	207	5.28780357181e-05	0.000105756071436	3.53846153846	4.27672
PCLO	49	171	19	201	5.35409054309e-05	0.000107081810862	3.03139427516	4.27131
SALL4	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
DSCAML1	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
CNTNAP5	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
HECW1	24	196	4	216	5.63474365921e-05	0.000112694873184	6.61224489796	4.24913
RYR3	50	170	20	200	6.53099111343e-05	0.000130619822269	2.94117647059	4.18502
COL12A1	33	187	9	211	6.67370332013e-05	0.000133474066402	4.13725490196	4.17563
PCDHA2	19	201	2	218	7.96986364859e-05	0.000159397272972	10.3034825871	4.09855
MTOR	19	201	2	218	7.96986364859e-05	0.000159397272972	10.3034825871	4.09855
MAP1B	19	201	2	218	7.96986364859e-05	0.000159397272972	10.3034825871	4.09855
ABCA13	55	165	24	196	8.40489918732e-05	0.000168097983746	2.72222222222	4.07547
MYCBP2	29	191	7	213	8.71031956636e-05	0.000174206391327	4.62004487659	4.05997
LRRK2	27	193	6	214	9.5681270061e-05	0.000191362540122	4.9896373057	4.01917
RIMS2	25	195	5	215	0.000101302923521	0.000202605847042	5.51282051282	3.99438
TRPC4	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
KCNB1	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
GLUD2	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
BRINP3	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
PLXNA4	23	197	4	216	0.000101981775591	0.000203963551183	6.30456852792	3.99148
NALCN	23	197	4	216	0.000101981775591	0.000203963551183	6.30456852792	3.99148
HUWE1	16	204	1	219	0.000106978194851	0.000213956389702	17.1764705882	3.9707
GRM5	16	204	1	219	0.000106978194851	0.000213956389702	17.1764705882	3.9707
CTNNA2	16	204	1	219	0.000106978194851	0.000213956389702	17.1764705882	3.9707
SDK1	43	177	16	204	0.000112780190037	0.000225560380074	3.09745762712	3.94777
XIRP2	30	190	8	212	0.000130920091145	0.00026184018229	4.18421052632	3.88299
DNAH5	47	173	19	201	0.000132626591844	0.000265253183688	2.87404928506	3.87737
DNAH10	41	179	15	205	0.000142915089448	0.000285830178897	3.1303538175	3.84492
LAMA1	28	192	7	213	0.000149410919431	0.000298821838863	4.4375	3.82562
DSCAM	28	192	7	213	0.000149410919431	0.000298821838863	4.4375	3.82562
TENM1	26	194	6	214	0.000166140459659	0.000332280919318	4.78006872852	3.77952
PXDNL	26	194	6	214	0.000166140459659	0.000332280919318	4.78006872852	3.77952
PCDH17	26	194	6	214	0.000166140459659	0.000332280919318	4.78006872852	3.77952
MTUS2	26	194	6	214	0.000166140459659	0.000332280919318	4.78006872852	3.77952
ZNF831	20	200	3	217	0.00017530084537	0.00035060169074	7.23333333333	3.75622
NAV3	20	200	3	217	0.00017530084537	0.00035060169074	7.23333333333	3.75622
GLI3	20	200	3	217	0.00017530084537	0.00035060169074	7.23333333333	3.75622
ATRX	20	200	3	217	0.00017530084537	0.00035060169074	7.23333333333	3.75622
LRFN5	15	205	1	219	0.000208976105659	0.000417952211318	16.0243902439	3.6799
ERBB4	15	205	1	219	0.000208976105659	0.000417952211318	16.0243902439	3.6799
ADGRL3	15	205	1	219	0.000208976105659	0.000417952211318	16.0243902439	3.6799
RPS6KA2	12	208	0	220	0.000209285734686	0.000418571469372	inf	3.67926
KCNB2	12	208	0	220	0.000209285734686	0.000418571469372	inf	3.67926
GRM1	12	208	0	220	0.000209285734686	0.000418571469372	inf	3.67926
FREM2	34	186	11	209	0.000212794744758	0.000425589489515	3.47311827957	3.67204
CSMD2	34	186	11	209	0.000212794744758	0.000425589489515	3.47311827957	3.67204
FBN1	29	191	8	212	0.000220355357385	0.000440710714769	4.02356020942	3.65688
RYR1	50	170	22	198	0.000221891052326	0.000443782104653	2.64705882353	3.65386
LRP1B	37	183	13	207	0.000225156342032	0.000450312684063	3.21941992434	3.64752
MUC16	97	123	61	159	0.000243254245469	0.000486508490939	2.05557776889	3.61394
ZFHX3	35	185	12	208	0.000279651356986	0.000559302713971	3.27927927928	3.55338
PTCHD2	17	203	2	218	0.00028296117473	0.00056592234946	9.12807881773	3.54827
IGSF9B	17	203	2	218	0.00028296117473	0.00056592234946	9.12807881773	3.54827
FBXW7	17	203	2	218	0.00028296117473	0.00056592234946	9.12807881773	3.54827
CACNA1B	25	195	6	214	0.000285921081975	0.00057184216395	4.57264957265	3.54375
DOCK2	23	197	5	215	0.000311899734989	0.000623799469978	5.02030456853	3.50598
ATP10A	23	197	5	215	0.000311899734989	0.000623799469978	5.02030456853	3.50598
SLIT1	19	201	3	217	0.000319368062924	0.000638736125848	6.83747927032	3.49571
PCDH10	19	201	3	217	0.000319368062924	0.000638736125848	6.83747927032	3.49571
GRIK2	19	201	3	217	0.000319368062924	0.000638736125848	6.83747927032	3.49571
FNDC1	19	201	3	217	0.000319368062924	0.000638736125848	6.83747927032	3.49571
