#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
TTN 94 126 56 164 9.40069888955e-05 0.000188013977791 2.18480725624 4.02684
PCDHGA6 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
MYH7 20 200 3 217 0.00017530084537 0.00035060169074 7.23333333333 3.75622
ZFHX4 29 191 8 212 0.000220355357385 0.000440710714769 4.02356020942 3.65688
OBSCN 47 173 20 200 0.000245441740324 0.000490883480648 2.71676300578 3.61005
DCHS2 23 197 5 215 0.000311899734989 0.000623799469978 5.02030456853 3.50598
MTUS2 14 206 1 219 0.000405792462679 0.000811584925359 14.8834951456 3.3917
CRMP1 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
MUC16 41 179 17 203 0.000525097898808 0.00105019579762 2.73512980611 3.27976
PCDHA9 16 204 2 218 0.000527146893629 0.00105429378726 8.54901960784 3.27807
PCDH17 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
CSMD1 29 191 10 210 0.00108331915823 0.00216663831647 3.18848167539 2.96524
SYNE1 30 190 11 209 0.00138140280889 0.00276280561778 3.0 2.85968
PCDHA13 12 208 1 219 0.00150020708883 0.00300041417765 12.6346153846 2.82385
ZNF469 18 202 4 216 0.00173543469883 0.00347086939767 4.81188118812 2.76059
PIK3CG 14 206 2 218 0.00178350696182 0.00356701392365 7.40776699029 2.74873
PCDHA11 14 206 2 218 0.00178350696182 0.00356701392365 7.40776699029 2.74873
TRPS1 9 211 0 220 0.00179677877533 0.00359355755067 inf 2.74551
HDAC9 9 211 0 220 0.00179677877533 0.00359355755067 inf 2.74551
ADGRE1 9 211 0 220 0.00179677877533 0.00359355755067 inf 2.74551
FAT3 26 194 9 211 0.00210728161827 0.00421456323653 3.14203894616 2.67628
PAPPA 11 209 1 219 0.00285289501493 0.00570579002986 11.5263157895 2.54471
NWD1 11 209 1 219 0.00285289501493 0.00570579002986 11.5263157895 2.54471
APBA2 11 209 1 219 0.00285289501493 0.00570579002986 11.5263157895 2.54471
TRIO 17 203 4 216 0.00296823073117 0.00593646146235 4.52216748768 2.5275
PCLO 22 198 7 213 0.00311210965592 0.00622421931185 3.38095238095 2.50695
GLI3 15 205 3 217 0.00320802815217 0.00641605630435 5.29268292683 2.49376
STAB1 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
ROBO1 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
PDZRN3 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
PCDHA8 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
OTOF 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
HECW1 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
ALK 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
NEFH 58 162 34 186 0.0034021616792 0.00680432335839 1.95860566449 2.46825
TNN 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
SLITRK5 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
PCDHB3 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
MAP2 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
KIF17 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
CTNND2 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
RYR3 29 191 12 208 0.00400926165918 0.00801852331836 2.63176265271 2.39694
RYR1 23 197 8 212 0.00407414656932 0.00814829313864 3.09390862944 2.38996
FAT4 21 199 7 213 0.00497075861036 0.00994151722072 3.21105527638 2.30358
TECTA 16 204 4 216 0.00501799873732 0.0100359974746 4.23529411765 2.29947
FREM2 16 204 4 216 0.00501799873732 0.0100359974746 4.23529411765 2.29947
RYR2 24 196 9 211 0.00514993326184 0.0102998665237 2.87074829932 2.2882
NCOR2 24 196 9 211 0.00514993326184 0.0102998665237 2.87074829932 2.2882
SYNPO2 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
SCN9A 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
PCDHA7 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
OR4L1 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
SALL1 14 206 3 217 0.00556139074564 0.0111227814913 4.91585760518 2.25482
SCN8A 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
PCDH10 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
CUZD1 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
AP3D1 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
TNC 19 201 6 214 0.00600508803691 0.0120101760738 3.37147595357 2.22148
LRP1B 22 198 8 212 0.00637435512917 0.0127487102583 2.94444444444 2.19556
APOB 17 203 5 215 0.00715973724112 0.0143194744822 3.60098522167 2.1451
TNR 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
SCN1A 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
POU3F4 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
PCDHGA12 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
PCDHB8 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
PCDHB2 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
PARP1 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
NALCN 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
LRRC7 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
HDGFL1 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
HCK 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
GIMAP8 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
FLRT2 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
AHNAK 20 200 7 213 0.00784237124496 0.0156847424899 3.04285714286 2.10555
PKD1L1 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
NIN 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
ADAMTS2 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
SLC6A19 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
NRXN1 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
CACNA1E 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
SPEG 18 202 6 214 0.00957618654671 0.0191523730934 3.17821782178 2.01881
LRP2 18 202 6 214 0.00957618654671 0.0191523730934 3.17821782178 2.01881
LOXHD1 18 202 6 214 0.00957618654671 0.0191523730934 3.17821782178 2.01881
DNAH3 21 199 8 212 0.00984971211575 0.0196994242315 2.79648241206 2.00658
TMEM132C 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
SYNJ1 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
SLIT2 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
SIM1 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
RIMS2 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
NLRP8 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
HSPA2 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
GABRA5 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
FBXL7 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
SLIT3 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
PCDHGB3 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
PCDHB10 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
UBR4 25 195 11 209 0.0113018649534 0.0226037299069 2.4358974359 1.94685
CSMD3 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
CNTNAP2 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
USH2A 22 198 9 211 0.0119970871644 0.0239941743287 2.6049382716 1.92092
XIRP2 19 201 7 213 0.0122130217631 0.0244260435261 2.8763326226 1.91318
HMCN1 19 201 7 213 0.0122130217631 0.0244260435261 2.8763326226 1.91318
FLNC 19 201 7 213 0.0122130217631 0.0244260435261 2.8763326226 1.91318
CACNA1B 19 201 7 213 0.0122130217631 0.0244260435261 2.8763326226 1.91318
ABCA13 19 201 7 213 0.0122130217631 0.0244260435261 2.8763326226 1.91318
SORCS1 14 206 4 216 0.0137981598228 0.0275963196455 3.66990291262 1.86018
PTPRT 14 206 4 216 0.0137981598228 0.0275963196455 3.66990291262 1.86018
VSIG10 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
SLC18A3 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
SLC17A6 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
REC8 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
PVR 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
MSC 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
MOK 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
LHX6 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
KRT6B 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
JAKMIP1 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
