#Gene	 Score
TP53	 33.1705
APC	 30.7669
KRAS	 25.2184
FRG1	 24.033
CBWD1	 19.0657
ZNF806	 16.3032
RASA4B	 16.0106
PIK3CA	 13.7808
EEF1A1	 6.11167
CR1	 5.7858
BRAF	 5.38779
SOX9	 4.85725
KRTAP9-2	 4.55824
KIAA0040	 3.9707
KMT2C	 3.92131
RYR2	 3.79803
KRTAP10-2	 3.50817
MST1L	 3.34993
CACNA1C	 3.06383
FBXW7	 3.05639
RBMXL1	 3.00313
OR5H1	 2.96526
SMAD4	 2.73767
DDX11	 2.72797
FAM153B	 2.71538
PCDH17	 2.58951
RNF43	 2.57238
CDH10	 2.50695
AMER1	 2.38306
ANAPC1	 2.32209
NBPF10	 2.29972
ACVR2A	 2.23629
PRH2	 2.22148
DSCAM	 2.19873
WBSCR17	 2.07688
VCX	 1.98747
CACNA2D1	 1.86018
TCERG1	 1.77974
NBPF14	 1.73385
PRKRIR	 1.72679
TPTE	 1.72076
USP9X	 1.64989
IGF2BP3	 1.64989
GTF2I	 1.64989
CDC27	 1.64989
BRINP3	 1.63158
STAG1	 1.57264
NRXN1	 1.56522
TCEB3CL	 1.54677
KRTAP4-11	 1.54677
SPDYE6	 1.50765
SMC1A	 1.50765
SMAD2	 1.50765
PRKCI	 1.50765
HUWE1	 1.47512
CDH9	 1.44789
BRWD3	 1.44789
CTNNB1	 1.44661
TCF7L2	 1.41366
ZNF98	 1.40065
POTEG	 1.37328
PCDH11X	 1.36027
DHX9	 1.35892
ARHGAP36	 1.35892
FOLH1	 1.34931
CHD4	 1.34931
FRY	 1.28577
FAM47A	 1.27191
TRIP12	 1.27148
NBEA	 1.26954
MARK1	 1.25106
GRIK2	 1.25106
NOTCH2NL	 1.21463
RPL22	 1.21009
B2M	 1.21009
AGO2	 1.21009
TRPS1	 1.19045
HECW1	 1.17053
MCF2	 1.15399
GRIA2	 1.15399
YBX1	 1.15344
POTEF	 1.12802
OR11H12	 1.10834
PTPRT	 1.07514
RGPD8	 1.07399
VCX3A	 1.06409
TRPC3	 1.06409
TLE4	 1.06409
ACVR1B	 1.06409
MAP2K4	 1.05753
MAGI2	 1.03443
DOCK3	 1.03443
PHF20L1	 1.00466
NBPF8	 1.00311
TUBB8	 0.996373
SCN2A	 0.996373
KCNA4	 0.996373
CSGALNACT2	 0.996373
XPO4	 0.967503
HGC6.3	 0.966682
BMPR2	 0.966682
AR	 0.966682
SUPT16H	 0.957327
PSPC1	 0.957327
FYN	 0.957327
ATL1	 0.957327
ZC3H13	 0.948654
CREBBP	 0.948654
TRPC4	 0.942958
KCNH1	 0.942958
SON	 0.940555
ARFGEF1	 0.933962
PCDH11Y	 0.906068
