#Gene	 Score
KRAS	 27.8494
FRG1	 23.6419
TP53	 22.406
CBWD1	 19.5392
PIK3CA	 16.2107
ZNF806	 15.6258
RASA4B	 15.1464
EEF1A1	 6.40888
BRAF	 5.52404
KRTAP9-2	 4.29805
KIAA0040	 3.82183
RBMXL1	 3.14648
OR5H1	 3.05364
MST1L	 2.86404
RYR2	 2.72797
KMT2C	 2.72709
FAM153B	 2.50695
KRTAP10-2	 2.29713
IGF2BP3	 2.25482
DDX11	 2.24768
CACNA1C	 2.24768
TPTE	 2.2202
SMAD4	 2.12825
ANAPC1	 2.11938
CDC27	 2.02128
CTNNB1	 1.99779
PRH2	 1.73385
NBPF10	 1.70111
NBPF14	 1.64602
SPDYE6	 1.57264
PRKCI	 1.57264
WBSCR17	 1.53797
BRWD3	 1.53797
NRXN1	 1.516
SF3B1	 1.50765
BAGE3	 1.50765
HGC6.3	 1.37354
GRIA2	 1.37354
RGPD8	 1.36027
GTF2I	 1.35892
ARHGAP36	 1.34931
PCDH17	 1.31341
PCDH11X	 1.25746
OR11H12	 1.23487
SMC1A	 1.21463
NOTCH2NL	 1.21009
MST1	 1.17053
VCX	 1.16852
TRPC4	 1.16852
PRKRIR	 1.16852
CTNNA2	 1.16852
BRINP3	 1.16852
PRPF8	 1.15344
POTEG	 1.13465
VCX3A	 1.10295
DCAF4L2	 1.10295
MUC21	 1.07399
ATP1A3	 1.05753
KLK4	 1.04938
NALCN	 1.03443
FBXW7	 1.03443
TRIM48	 1.00466
FAM47A	 1.00311
TUBA3C	 0.996373
POTEF	 0.983444
XPO4	 0.957327
EEF1A2	 0.906068
FBXL7	 0.899561
AFF2	 0.899561
ACKR4	 0.899561
TRPC3	 0.886701
CACNA2D1	 0.886701
CDH9	 0.863489
ENC1	 0.846868
HECW1	 0.838045
USP9X	 0.83373
PCMTD1	 0.83373
KCNH1	 0.83373
MAGI2	 0.832955
HUWE1	 0.832955
SON	 0.800388
TCEB3CL	 0.792261
NBPF8	 0.775344
CDH2	 0.731031
TUBB2A	 0.73032
SEC61A1	 0.73032
MAP2K4	 0.73032
TSHZ3	 0.73016
MEF2A	 0.7201
CSGALNACT2	 0.7201
ZNF98	 0.707638
MTOR	 0.707638
DRD5	 0.707638
DSCAM	 0.702901
CDH10	 0.68161
KRTAP4-11	 0.670192
GRIN2A	 0.670192
YBX1	 0.651712
TUBB8	 0.651712
STAG1	 0.648434
SMAD3	 0.648434
PTBP2	 0.648434
FOXG1	 0.648434
GOLGA6C	 0.641398
ZNF423	 0.629323
PRB3	 0.629323
KRT86	 0.629323
MCF2	 0.627693
KCNH7	 0.627693
CDK11B	 0.627693
GGT1	 0.618467
CEP170	 0.618467
PTPRT	 0.608645
KLHL4	 0.607895
CDH18	 0.607895
SMARCB1	 0.60305
PCDH11Y	 0.60305
NBPF20	 0.60305
TLK2	 0.599219
PCBP1	 0.599219
KCND3	 0.599219
HNF1B	 0.599219
GNAO1	 0.599219
ZSCAN5A	 0.591244
ZFHX4	 0.589383
ZNF493	 0.57701
EBPL	 0.565736
ATP2B2	 0.565736
MED12	 0.564676
KRTAP4-8	 0.564676
ERBB4	 0.564676
CNOT1	 0.564676
GRIA4	 0.541189
GLUD2	 0.541189
GABRG2	 0.541189
TRPS1	 0.528108
RPTN	 0.528108
POTEH	 0.528108
SOX9	 0.522268
NUP50	 0.522268
NBPF15	 0.522268
CCNA1	 0.522268
ADCY1	 0.522268
RIMS1	 0.521176
PCDH10	 0.521176
PCDHB11	 0.509114
PGM5	 0.507147
GUCY1B3	 0.507147
TUBA1B	 0.506343
TBR1	 0.506343
SLC32A1	 0.506343
POLR2J	 0.506343
OR4F21	 0.506343
MEF2C	 0.506343
KCNJ4	 0.506343
FYN	 0.506343
FGF13	 0.506343
KCNB1	 0.49473
CDH8	 0.49473
ATP1A2	 0.49473
CACNA1E	 0.490271
ZEB2	 0.484313
ZNF208	 0.479354
GRM5	 0.475425
DYNC1H1	 0.475425
DOCK3	 0.475425
ZNF483	 0.465118
TUBA4A	 0.465118
RBBP7	 0.465118
PRAMEF19	 0.465118
PHIP	 0.465118
HRH2	 0.465118
GRIA3	 0.465118
EGR3	 0.465118
AR	 0.455048
ZNF28	 0.449739
SPTBN1	 0.449739
RBM25	 0.441264
MSN	 0.441264
KCNA1	 0.441264
GABRB3	 0.441264
AGO1	 0.441264
TENM1	 0.440659
MAGEC1	 0.433157
ZYG11B	 0.425353
VAV1	 0.425353
SLC25A12	 0.425353
RPS6KA6	 0.425353
MAP2K7	 0.425353
HTR2C	 0.425353
HSPD1	 0.425353
DCAF12L2	 0.425353
DCAF12L1	 0.425353
CPSF6	 0.425353
DSPP	 0.414633
JADE1	 0.41382
IRX1	 0.41382
HSP90AB1	 0.41382
CHRM2	 0.41382
ATP9A	 0.41382
ARSD	 0.41382
ABCD1	 0.41382
TCF7L2	 0.404991
SNX13	 0.404991
GABRA5	 0.404991
ACVR1B	 0.404991
SSX5	 0.397966
SLITRK1	 0.397966
TUBA3D	 0.392213
PLEKHM1	 0.392213
KCNQ5	 0.392213
SCN2A	 0.387395
RNF43	 0.387395
FOLH1	 0.387395
BCLAF1	 0.387395
FAT4	 0.386198
ZNF835	 0.383289
CLEC4M	 0.383289
PCDHA2	 0.379738
MUC7	 0.379738
SCN1A	 0.376631
RIMBP2	 0.376631
TPTE2	 0.373883
FLNA	 0.369231
HOMEZ	 0.367239
ZNF536	 0.365428
SPATA31C2	 0.362251
PRDM9	 0.353407
ZNF367	 0.30103
ZNF148	 0.30103
ZMYM3	 0.30103
ZBTB16	 0.30103
XKR4	 0.30103
WWP1	 0.30103
VPS50	 0.30103
VCX3B	 0.30103
USP17L11	 0.30103
UQCRFS1	 0.30103
UBR5	 0.30103
TUBGCP3	 0.30103
TSPAN5	 0.30103
TRIP12	 0.30103
TRIM9	 0.30103
TNR	 0.30103
TMOD1	 0.30103
TMEM26	 0.30103
TMEM132D	 0.30103
TGFBR1	 0.30103
TBX20	 0.30103
TAF5	 0.30103
SYT1	 0.30103
SUPT5H	 0.30103
SUPT20HL1	 0.30103
SUPT16H	 0.30103
STXBP1	 0.30103
STAT1	 0.30103
ST8SIA4	 0.30103
SOHLH2	 0.30103
SMC3	 0.30103
SLIT1	 0.30103
SLC8A2	 0.30103
SLC6A15	 0.30103
SLC44A5	 0.30103
SLC35G6	 0.30103
SLC25A37	 0.30103
SLC25A31	 0.30103
SLC12A5	 0.30103
SCN8A	 0.30103
SCML2	 0.30103
RXRG	 0.30103
RRAGB	 0.30103
RORB	 0.30103
ROBO1	 0.30103
RHPN2	 0.30103
RGPD3	 0.30103
RFPL1	 0.30103
RAN	 0.30103
PUF60	 0.30103
PSPC1	 0.30103
PSMC3	 0.30103
PROX1	 0.30103
PRKCG	 0.30103
PRKCB	 0.30103
PPP2R1A	 0.30103
PPFIA2	 0.30103
PPARGC1A	 0.30103
POTEM	 0.30103
PLPPR5	 0.30103
PLPPR4	 0.30103
PDS5A	 0.30103
PAX6	 0.30103
PAK2	 0.30103
PABPC4L	 0.30103
OR2L8	 0.30103
OR1D5	 0.30103
OPCML	 0.30103
OCRL	 0.30103
NXPH1	 0.30103
NTRK3	 0.30103
NTNG1	 0.30103
NRAS	 0.30103
NPR3	 0.30103
NETO1	 0.30103
NEDD4L	 0.30103
MYH7	 0.30103
MAPK8	 0.30103
MAP2K1	 0.30103
MAGEC3	 0.30103
MAB21L2	 0.30103
LYN	 0.30103
LRFN5	 0.30103
LINGO2	 0.30103
LDOC1	 0.30103
KRTAP4-7	 0.30103
KPNA6	 0.30103
KLHL24	 0.30103
KLHL15	 0.30103
KLHL13	 0.30103
KIRREL3	 0.30103
KIF4A	 0.30103
KIAA1109	 0.30103
