#Gene	 Score
ZNF806	 32.007
COX10	 7.28253
IFNA10	 6.70665
KRTAP5-5	 5.38779
KRT6B	 5.06904
GPRIN1	 4.34668
RBMXL1	 3.48704
AQP7	 3.29368
POTEE	 3.25647
NLGN4Y	 3.10627
VCX	 3.01146
KRTAP3-3	 2.82385
NEFH	 2.58951
NBPF20	 2.54471
LRRC37A3	 2.2882
TMEM14B	 1.74434
ANKRD36B	 1.73385
KRTAP5-4	 1.64989
MUC6	 1.52749
NBPF12	 1.44789
POTEC	 1.27148
MSN	 1.25106
ARSD	 1.16852
LILRB1	 1.07399
MLLT3	 1.06889
NUDT10	 1.05753
DDX11	 1.00466
TBP	 1.00402
IFNA4	 0.996373
FADS6	 0.996373
ALG13	 0.942958
NUP50	 0.899561
OR8B3	 0.846868
HIST1H2BK	 0.846868
FCGR2A	 0.83373
POTEG	 0.758759
NBPF15	 0.7201
CYP2A6	 0.715853
MUC21	 0.707638
VCX3A	 0.68161
VCX3B	 0.651712
OR6B2	 0.651712
RPTN	 0.627693
POMZP3	 0.627693
MST1	 0.607895
ASAH2B	 0.60305
FRG1	 0.599219
CEP170	 0.57701
OR2L8	 0.565736
LCE1F	 0.541189
CGREF1	 0.49473
KRTAP5-10	 0.484313
KLHL2	 0.484313
XPOT	 0.465118
SPANXN2	 0.465118
CGB	 0.465118
MAML3	 0.455048
KRTAP1-3	 0.441264
PCMTD1	 0.425353
HGC6.3	 0.425353
SHROOM4	 0.404991
CDC27	 0.404991
PDE4DIP	 0.404318
HYDIN	 0.404318
MFSD14B	 0.397966
EEF1A1	 0.392213
PCDH17	 0.373883
PRB3	 0.371432
ZNF888	 0.30103
ZNF565	 0.30103
TUBB2B	 0.30103
TNFRSF10C	 0.30103
SPATA3	 0.30103
SLITRK4	 0.30103
RLIM	 0.30103
PPIAL4G	 0.30103
PCDHB3	 0.30103
OR10A5	 0.30103
NCF1	 0.30103
MARK1	 0.30103
KRTAP4-8	 0.30103
KRTAP4-7	 0.30103
CCKBR	 0.30103
AQP12A	 0.30103
MGAM	 0.252104
PCDH10	 0.234421
NCOA6	 0.234421
MAML2	 0.231898
PCDHB7	 0.217211
USP4	 0.20449
TRPC4	 0.20449
MST1L	 0.20449
FFAR3	 0.20449
SLC35G6	 0.195195
KCNA1	 0.195195
FAM47A	 0.195195
DCAF8L2	 0.195195
CBWD1	 0.195195
CNTNAP3	 0.193106
UPF3A	 0.18222
KRTAP5-8	 0.18222
KRTAP4-3	 0.18222
HTR1A	 0.18222
FAM110B	 0.18222
MUC4	 0.177503
PCDHA3	 0.176942
HS6ST1	 0.176942
PCDHB8	 0.172539
ZNF449	 0.162186
KRTAP5-11	 0.162186
HHLA2	 0.162186
CHST11	 0.162186
TRPS1	 0.161823
POTEH	 0.155164
EBF1	 0.155164
ANKRD30A	 0.155164
PCDH15	 0.146034
PCDHGA6	 0.138151
PCDHA9	 0.138151
MTUS2	 0.138151
CTNND2	 0.138151
PCDHA5	 0.137755
EEF1B2	 0.137755
PRAMEF6	 0.12589
CENPC	 0.12589
TRIM34	 0.124609
OR52L1	 0.124609
NXF2B	 0.124609
NRBF2	 0.124609
HOXB5	 0.124609
FAM209B	 0.124609
CLEC18C	 0.124609
CLDN19	 0.124609
ACTRT1	 0.124609
PRB2	 0.123011
TUBB8	 0.11672
TUBA1A	 0.11052
SPRED2	 0.11052
SFRP4	 0.11052
PAK2	 0.11052
OR6C1	 0.11052
OPRK1	 0.11052
KCNK2	 0.11052
EYA1	 0.11052
ERICH6	 0.11052
ARHGEF5	 0.11052
PDZRN3	 0.109574
FAM47C	 0.109574
C5orf42	 0.104413
SNTG2	 0.101361
PLD5	 0.101361
RIMS2	 0.0998017
KMT2C	 0.0990822
PCDHGA10	 0.0917844
OR2T12	 0.0917844
KCNH8	 0.0917844
TYR	 0.0894137
TCEB3CL	 0.0894137
SUPT20H	 0.0894137
POU3F4	 0.0894137
OR5L1	 0.0894137
OR4C15	 0.0894137
NSF	 0.0894137
MACROD2	 0.0894137
KLHL4	 0.0894137
ISLR2	 0.0894137
HLX	 0.0894137
GPC6	 0.0894137
GLRB	 0.0894137
GJB3	 0.0894137
ELAC2	 0.0894137
DCAF12L1	 0.0894137
CD5L	 0.0894137
B3GAT1	 0.0894137
PEG3	 0.0858943
HRNR	 0.0851212
NBPF10	 0.0831658
KCNJ18	 0.0831658
GRM8	 0.0831658
SERPING1	 0.0804232
ROR1	 0.0804232
OR4L1	 0.0804232
KIAA2022	 0.0804232
KIAA1210	 0.0804232
FAM71B	 0.0804232
DENND1B	 0.0804232
CLCN5	 0.0804232
PCDHB2	 0.0764134
BRWD3	 0.0764134
TPTE2	 0.0688707
MAP2	 0.0688707
ZNF280B	 0.0666525
TPTE	 0.0666525
PROKR1	 0.0666525
PGBD4	 0.0666525
PABPC3	 0.0666525
MPP3	 0.0666525
MC2R	 0.0666525
MAGEC3	 0.0666525
KRTAP4-12	 0.0666525
DCDC5	 0.0666525
NOMO1	 0.063956
KCNH5	 0.063956
ADAMTS2	 0.063956
PCDHB1	 0.0603845
PCDHA2	 0.0603845
PAX6	 0.0603845
NLGN4X	 0.0603845
FHOD1	 0.0603845
CDH8	 0.0603845
SCN8A	 0.0584985
PHF2	 0.0584985
ADCY2	 0.0584985
ACTR3B	 0.0584985
UIMC1	 0.0575682
UBQLNL	 0.0575682
TEKT2	 0.0575682
TBC1D25	 0.0575682
STK33	 0.0575682
SPATA31D3	 0.0575682
SLC9C2	 0.0575682
SLC36A3	 0.0575682
SLC32A1	 0.0575682
PUS7L	 0.0575682
PPP1R18	 0.0575682
PANX3	 0.0575682
OR12D3	 0.0575682
MEOX2	 0.0575682
MC3R	 0.0575682
MAF1	 0.0575682
LGI1	 0.0575682
IQCG	 0.0575682
GRIK2	 0.0575682
GRIA3	 0.0575682
GPR141	 0.0575682
GOLGA6L1	 0.0575682
FRRS1	 0.0575682
FEZF2	 0.0575682
EYA4	 0.0575682
EDNRB	 0.0575682
CNBD1	 0.0575682
CLEC18B	 0.0575682
CDX4	 0.0575682
CD5	 0.0575682
CCDC82	 0.0575682
BTRC	 0.0575682
BRINP3	 0.0575682
APOBEC3H	 0.0575682
PCDHA11	 0.0537555
ABCD1	 0.052584
RANBP2	 0.0513414
ZNF862	 0.0507685
ZNF468	 0.0507685
IGF2BP3	 0.0507685
GOLGA2	 0.0507685
GARNL3	 0.0507685
FAM171B	 0.0507685
F8	 0.0507685
DRD5	 0.0507685
CDH9	 0.0507685
NRXN1	 0.0496223
HECW1	 0.0496223
CNTNAP2	 0.0496223
ANO1	 0.0496223
WDFY1	 0.049523
TRDN	 0.049523
TMEM164	 0.049523
TIRAP	 0.049523
TBX19	 0.049523
SYTL2	 0.049523
STK32B	 0.049523
SRRM5	 0.049523
SLC24A2	 0.049523
SLC18A2	 0.049523
SH3RF1	 0.049523
RHOJ	 0.049523
OR9G1	 0.049523
OR4N4	 0.049523
OR2T1	 0.049523
OR1L6	 0.049523
OR1A1	 0.049523
ODF1	 0.049523
NGEF	 0.049523
MOSPD3	 0.049523
MFSD9	 0.049523
MED27	 0.049523
MED14	 0.049523
MAB21L2	 0.049523
L3MBTL3	 0.049523
IRX5	 0.049523
HPN	 0.049523
GMNC	 0.049523
GIGYF2	 0.049523
FOXG1	 0.049523
FKBP9	 0.049523
FBXO43	 0.049523
FAM124A	 0.049523
EPB41L4A	 0.049523
DEFA1B	 0.049523
DCAF4L2	 0.049523
CHRDL1	 0.049523
CDHR3	 0.049523
CD200R1	 0.049523
CCR9	 0.049523
CADM3	 0.049523
C1QL2	 0.049523
BMP10	 0.049523
ATXN10	 0.049523
AMIGO3	 0.049523
ZNF835	 0.0461624
TXNDC2	 0.0461624
SORCS1	 0.0461624
NPAP1	 0.0461624
EGFLAM	 0.0461624
CTNNA2	 0.0461624
PIKFYVE	 0.0420952
PCDHB10	 0.0420952
CACNA1A	 0.0420952
TSHZ3	 0.0406019
TAS1R2	 0.0406019
SLC4A5	 0.0406019
GLI3	 0.0406019
EPHA5	 0.0406019
ZBTB44	 0.0398118
WNT3A	 0.0398118
TMCO4	 0.0398118
TLE4	 0.0398118
TANGO6	 0.0398118
SLC26A3	 0.0398118
RABGAP1L	 0.0398118
PUM3	 0.0398118
PDE8A	 0.0398118
PCDHGA2	 0.0398118
MMP20	 0.0398118
LENG1	 0.0398118
KRT71	 0.0398118
IRS4	 0.0398118
GZMA	 0.0398118
FSTL5	 0.0398118
FIBCD1	 0.0398118
FAM47B	 0.0398118
ESX1	 0.0398118
DPY19L2	 0.0398118
COLQ	 0.0398118
CLCN3	 0.0398118
CDH10	 0.0398118
ZNF28	 0.0391867
SYNPO2	 0.0391867
SHC3	 0.0391867
SCUBE2	 0.0391867
KIAA0825	 0.0391867
ITGA2B	 0.0391867
FLRT2	 0.0391867
DMKN	 0.0391867
DLL3	 0.0391867
DAGLA	 0.0391867
GGT1	 0.0387361
PCDHGB2	 0.035691
NLRP2	 0.035691
MYBPC3	 0.035691
GOLGB1	 0.035691
FANCD2	 0.035691
CDH11	 0.0352327
WHSC1L1	 0.0316273
TRIM48	 0.0316273
SLC9A5	 0.0316273
SAGE1	 0.0316273
PRKRIR	 0.0316273
PIK3R1	 0.0316273
PDILT	 0.0316273
PCDHGA1	 0.0316273
OVGP1	 0.0316273
NCOA3	 0.0316273
MYOD1	 0.0316273
LIMCH1	 0.0316273
KRT86	 0.0316273
GNAO1	 0.0316273
DPP10	 0.0316273
DNMT3B	 0.0316273
CDH6	 0.0316273
CACNA2D1	 0.0316273
BCLAF1	 0.0316273
AFF2	 0.0316273
TNR	 0.0315855
BCORL1	 0.0315855
CSMD3	 0.0305419
ZDHHC11	 0.0305089
SPDYE1	 0.0305089
SHROOM2	 0.0305089
PCDHGB1	 0.0305089
PCDHB4	 0.0305089
PCDH11X	 0.0305089
ERN1	 0.0305089
COL1A2	 0.0305089
CNTNAP5	 0.0305089
CNTNAP1	 0.0305089
CACNA2D3	 0.0305089
ARAP2	 0.0305089
AP3D1	 0.0305089
ADCY4	 0.0305089
A2ML1	 0.0305089
DSPP	 0.0281989
RTL1	 0.0277998
