#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
APC	321	135	12	444	4.97229547087e-117	9.94459094175e-117	87.9777777778	116.303
TP53	244	212	1	455	1.15599610071e-91	2.31199220141e-91	523.679245283	90.937
KRAS	194	262	1	455	1.72818263224e-68	3.45636526448e-68	336.908396947	67.7624
PIK3CA	139	317	0	456	5.52911761091e-48	1.10582352218e-47	inf	47.2573
TTN	311	145	115	341	7.67550661129e-40	1.53510132226e-39	6.35988005997	39.1149
RYR2	119	337	9	447	2.80574359718e-29	5.61148719437e-29	17.5380811078	28.552
FAT4	134	322	19	437	1.42543409354e-26	2.85086818707e-26	9.57142857143	25.8461
PCLO	132	324	20	436	2.6581828655e-25	5.31636573099e-25	8.88148148148	24.5754
SYNE1	177	279	50	406	2.93872672579e-23	5.87745345159e-23	5.15139784946	22.5318
FBXW7	78	378	2	454	8.68070856638e-23	1.73614171327e-22	46.8412698413	22.0614
CCDC168	118	338	18	438	2.70485876439e-22	5.40971752878e-22	8.49506903353	21.5679
CSMD3	101	355	11	445	7.43238011463e-22	1.48647602293e-21	11.509603073	21.1289
BRAF	66	390	0	456	1.07258973151e-21	2.14517946301e-21	inf	20.9696
SOX9	64	392	0	456	5.02631928984e-21	1.00526385797e-20	inf	20.2987
MUC16	204	252	75	381	5.38828386878e-21	1.07765677376e-20	4.11238095238	20.2685
AMER1	70	386	3	453	4.90553948402e-19	9.81107896803e-19	27.3834196891	18.3093
OBSCN	142	314	38	418	7.88082928048e-19	1.5761658561e-18	4.97452229299	18.1034
ZFHX4	105	351	18	438	1.68579600645e-18	3.37159201291e-18	7.2792022792	17.7732
DNAH5	114	342	23	433	2.67554635162e-18	5.35109270324e-18	6.27536231884	17.5726
PCDH17	60	396	1	455	3.59549815752e-18	7.19099631504e-18	68.9393939394	17.4442
FRY	63	393	2	454	6.68681233507e-18	1.33736246701e-17	36.3893129771	17.1748
RYR1	101	355	18	438	2.24850510215e-17	4.49701020431e-17	6.92300469484	16.6481
DMD	88	368	12	444	2.81367536051e-17	5.62735072102e-17	8.84782608696	16.5507
CACNA1E	70	386	5	451	4.06499727697e-17	8.12999455395e-17	16.3575129534	16.3909
UNC80	63	393	3	453	7.99512097527e-17	1.59902419505e-16	24.2061068702	16.0972
DSCAM	69	387	5	451	8.22407094237e-17	1.64481418847e-16	16.0821705426	16.0849
TRPS1	59	397	2	454	1.25483797528e-16	2.50967595056e-16	33.7355163728	15.9014
LRP1B	115	341	27	429	1.31733448717e-16	2.63466897434e-16	5.35842293907	15.8803
CSMD1	104	352	21	435	1.35048880999e-16	2.70097761998e-16	6.12012987013	15.8695
NALCN	58	398	2	454	2.59963572919e-16	5.19927145839e-16	33.0804020101	15.5851
KMT2B	60	396	3	453	6.88126096342e-16	1.37625219268e-15	22.8787878788	15.1623
RYR3	99	357	20	436	9.21846832494e-16	1.84369366499e-15	6.04537815126	15.0353
SDK1	88	368	15	441	1.84109666718e-15	3.68219333436e-15	7.03043478261	14.7349
TCERG1	47	409	0	456	2.03657364467e-15	4.07314728935e-15	inf	14.6911
TCF7L2	55	401	2	454	2.28538294741e-15	4.57076589482e-15	31.1346633416	14.641
ANK3	81	375	12	444	2.76261859619e-15	5.52523719239e-15	7.992	14.5587
PCDH10	51	405	1	455	2.82928211086e-15	5.65856422173e-15	57.2962962963	14.5483
CDH10	46	410	0	456	4.30164091778e-15	8.60328183556e-15	inf	14.3664
HECW1	60	396	4	452	5.96287020994e-15	1.19257404199e-14	17.1212121212	14.2245
NBEA	65	391	6	450	8.65137798704e-15	1.73027559741e-14	12.4680306905	14.0629
TSHZ3	53	403	2	454	9.64166870078e-15	1.92833374016e-14	29.8535980149	14.0158
SMAD4	49	407	1	455	1.22281834912e-14	2.44563669823e-14	54.7788697789	13.9126
SCN3A	49	407	1	455	1.22281834912e-14	2.44563669823e-14	54.7788697789	13.9126
NFASC	55	401	3	453	2.38443161782e-14	4.76886323564e-14	20.710723192	13.6226
KIF21A	55	401	3	453	2.38443161782e-14	4.76886323564e-14	20.710723192	13.6226
PTPRT	63	393	6	450	3.34654590163e-14	6.69309180325e-14	12.0229007634	13.4754
XIRP2	93	363	20	436	3.51732356233e-14	7.03464712466e-14	5.58512396694	13.4538
TMEM132D	43	413	0	456	4.02257049779e-14	8.04514099559e-14	inf	13.3955
HUWE1	43	413	0	456	4.02257049779e-14	8.04514099559e-14	inf	13.3955
