#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
TTN	187	269	63	393	8.20195372788e-21	1.64039074558e-20	4.33651973801	20.0861
MUC16	97	359	25	431	6.35319167629e-13	1.27063833526e-12	4.65816155989	12.197
FAT3	68	388	11	445	2.57867329312e-12	5.15734658624e-12	7.08997188379	11.5886
PCDH17	42	414	3	453	1.83593355393e-10	3.67186710785e-10	15.3188405797	9.73614
OBSCN	85	371	28	428	4.83798628787e-09	9.67597257574e-09	3.50211782826	8.31534
DCHS2	36	420	3	453	9.82874012072e-09	1.96574802415e-08	12.9428571429	8.0075
NCOA6	35	421	3	453	1.88785436585e-08	3.7757087317e-08	12.5534441805	7.72403
XPOT	25	431	0	456	2.12533670565e-08	4.2506734113e-08	inf	7.67257
PCDH10	31	425	2	454	4.11525862431e-08	8.23051724861e-08	16.5576470588	7.3856
MLLT3	41	415	6	450	4.42766999264e-08	8.85533998528e-08	7.40963855422	7.35382
FLG2	41	415	6	450	4.42766999264e-08	8.85533998528e-08	7.40963855422	7.35382
CCDC168	51	405	11	445	5.48493481466e-08	1.09698696293e-07	5.09427609428	7.26083
RYR1	58	398	15	441	6.87386112583e-08	1.37477222517e-07	4.28442211055	7.1628
PCDHB3	27	429	1	455	7.47391359631e-08	1.49478271926e-07	28.6363636364	7.12645
TECTA	32	424	3	453	1.31102988212e-07	2.62205976424e-07	11.3962264151	6.88239
ZFHX4	53	403	13	443	1.42115710892e-07	2.84231421784e-07	4.48158045429	6.84736
PCDHGA6	29	427	2	454	1.55112439294e-07	3.10224878588e-07	15.4168618267	6.80935
THBS2	22	434	0	456	1.83937849008e-07	3.67875698017e-07	inf	6.73533
FAT4	55	401	15	441	3.22453937358e-07	6.44907874716e-07	4.03241895262	6.49153
ALG13	33	423	4	452	3.39677085278e-07	6.79354170557e-07	8.81560283688	6.46893
TRPS1	30	426	3	453	4.68684079678e-07	9.37368159356e-07	10.6338028169	6.32912
NIN	24	432	1	455	5.82106108826e-07	1.16421221765e-06	25.2777777778	6.235
SYNE1	92	364	40	416	6.11468345592e-07	1.22293669118e-06	2.62857142857	6.21363
NUDT10	23	433	1	455	1.14788088389e-06	2.29576176779e-06	24.168591224	5.9401
CSMD1	62	394	21	435	1.36725082957e-06	2.73450165913e-06	3.25960841189	5.86415
NRXN1	33	423	5	451	1.37454163328e-06	2.74908326656e-06	7.03687943262	5.86184
CFAP46	33	423	5	451	1.37454163328e-06	2.74908326656e-06	7.03687943262	5.86184
BRWD3	19	437	0	456	1.57509929673e-06	3.15019859346e-06	inf	5.80269
DSCAM	28	428	3	453	1.64931811869e-06	3.29863623739e-06	9.8785046729	5.7827
ZFHX3	46	410	12	444	2.1066699482e-06	4.2133398964e-06	4.1512195122	5.6764
PCDHA6	30	426	4	452	2.12117355515e-06	4.24234711031e-06	7.95774647887	5.67342
HECW1	30	426	4	452	2.12117355515e-06	4.24234711031e-06	7.95774647887	5.67342
ADCY2	22	434	1	455	2.25726874929e-06	4.51453749858e-06	23.064516129	5.64642
USH2A	56	400	18	438	2.35545722798e-06	4.71091445596e-06	3.40666666667	5.62792
CSMD3	51	405	15	441	2.36312058015e-06	4.72624116029e-06	3.70222222222	5.62651
PCDHA13	32	424	5	451	2.47530557466e-06	4.95061114933e-06	6.80754716981	5.60637
LRP2	40	416	9	447	2.67975925977e-06	5.35951851954e-06	4.77564102564	5.5719
PCDH9	18	438	0	456	3.21492870155e-06	6.42985740309e-06	inf	5.49283
MFSD14B	24	432	2	454	4.03448037045e-06	8.0689607409e-06	12.6111111111	5.39421
ALMS1	31	425	5	451	4.43533039876e-06	8.87066079752e-06	6.57929411765	5.35307
RYR2	67	389	26	430	4.52390875378e-06	9.04781750755e-06	2.84852679454	5.34449
MAML2	39	417	9	447	4.56197690633e-06	9.12395381265e-06	4.64508393285	5.34085
PCDHA11	26	430	3	453	5.7052403895e-06	1.1410480779e-05	9.13023255814	5.24373
PCDHA9	32	424	6	450	8.3460465954e-06	1.66920931908e-05	5.66037735849	5.07852
FAM47B	20	436	1	455	8.65154960533e-06	1.73030992107e-05	20.871559633	5.06291
AHNAK	43	413	12	444	9.49908715943e-06	1.89981743189e-05	3.85230024213	5.02232
CMYA5	48	408	15	441	9.95398927959e-06	1.99079785592e-05	3.45882352941	5.002
TENM4	25	431	3	453	1.05374865829e-05	2.10749731658e-05	8.75870069606	4.97726
FNDC1	27	429	4	452	1.26939013573e-05	2.53878027146e-05	7.11188811189	4.8964
MYH7	35	421	8	448	1.38978665284e-05	2.77957330568e-05	4.65558194774	4.85705
LOXHD1	29	427	5	451	1.40160017796e-05	2.80320035591e-05	6.12599531616	4.85338
PLXND1	22	434	2	454	1.44605352687e-05	2.89210705374e-05	11.5069124424	4.83982
PCDHA2	22	434	2	454	1.44605352687e-05	2.89210705374e-05	11.5069124424	4.83982
MTUS2	33	423	7	449	1.44694292815e-05	2.89388585629e-05	5.0040526849	4.83955
CSMD2	42	414	12	444	1.55145245486e-05	3.10290490972e-05	3.75362318841	4.80926
SCN10A	19	437	1	455	1.68569137501e-05	3.37138275002e-05	19.7826086957	4.77322
ADAMTS16	19	437	1	455	1.68569137501e-05	3.37138275002e-05	19.7826086957	4.77322
TNXB	50	406	17	439	1.77490768289e-05	3.54981536578e-05	3.18023761229	4.75082
PCLO	53	403	19	437	1.90282039968e-05	3.80564079937e-05	3.02481389578	4.7206
ROBO1	26	430	4	452	2.28055363044e-05	4.56110726088e-05	6.83255813953	4.64196
APOB	34	422	8	448	2.3495561122e-05	4.69911222439e-05	4.51184834123	4.62901
DNHD1	28	428	5	451	2.47067974329e-05	4.94135948658e-05	5.90093457944	4.60718
GLI3	32	424	7	449	2.47549500695e-05	4.9509900139e-05	4.8409703504	4.60634
LRP1B	46	410	15	441	2.52303079048e-05	5.04606158096e-05	3.29853658537	4.59808
UNC13C	15	441	0	456	2.71480754624e-05	5.42961509248e-05	inf	4.56626
IRX1	15	441	0	456	2.71480754624e-05	5.42961509248e-05	inf	4.56626
CFAP47	15	441	0	456	2.71480754624e-05	5.42961509248e-05	inf	4.56626
SDK2	21	435	2	454	2.71968180269e-05	5.43936360537e-05	10.9586206897	4.56548
PCDHGB3	21	435	2	454	2.71968180269e-05	5.43936360537e-05	10.9586206897	4.56548
GRIN2A	21	435	2	454	2.71968180269e-05	5.43936360537e-05	10.9586206897	4.56548
NEB	71	385	32	424	2.97230323002e-05	5.94460646003e-05	2.44350649351	4.52691
FREM2	37	419	10	446	3.2521004529e-05	6.5042009058e-05	3.938424821	4.48784
CHL1	18	438	1	455	3.27318579882e-05	6.54637159764e-05	18.698630137	4.48503
ADAMTS5	18	438	1	455	3.27318579882e-05	6.54637159764e-05	18.698630137	4.48503
FLNC	42	414	13	443	3.49490145752e-05	6.98980291503e-05	3.45707915273	4.45657
TENM1	23	433	3	453	3.54061707355e-05	7.0812341471e-05	8.0207852194	4.45092
CNTNAP2	35	421	9	447	3.61660887628e-05	7.23321775257e-05	4.12905779889	4.4417
AHNAK2	80	376	39	417	3.68787968032e-05	7.37575936065e-05	2.27495908347	4.43322
TNC	33	423	8	448	3.94755119313e-05	7.89510238626e-05	4.36879432624	4.40367
MSN	33	423	8	448	3.94755119313e-05	7.89510238626e-05	4.36879432624	4.40367
SCN9A	25	431	4	452	4.07390252917e-05	8.14780505833e-05	6.55452436195	4.38999
NWD1	25	431	4	452	4.07390252917e-05	8.14780505833e-05	6.55452436195	4.38999
ATP10A	31	425	7	449	4.20904739751e-05	8.41809479502e-05	4.67865546218	4.37582
ZNF423	27	429	5	451	4.32927875876e-05	8.65855751752e-05	5.67692307692	4.36358
PCDHB7	27	429	5	451	4.32927875876e-05	8.65855751752e-05	5.67692307692	4.36358
PKHD1	29	427	6	450	4.35475997953e-05	8.70951995907e-05	5.09367681499	4.36104
RTL1	20	436	2	454	5.09077935765e-05	0.000101815587153	10.4128440367	4.29322
CLEC14A	14	442	0	456	5.51560447177e-05	0.000110312089435	inf	4.25841
HMCN1	44	412	15	441	6.24162031591e-05	0.000124832406318	3.13980582524	4.2047
