#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
APC	169	51	12	208	6.60285239719e-59	1.32057047944e-58	57.4379084967	58.1803
TP53	116	104	0	220	9.01602167314e-45	1.80320433463e-44	inf	44.045
KRAS	95	125	2	218	9.98047384908e-32	1.99609476982e-31	82.84	31.0008
PIK3CA	65	155	1	219	4.05462980765e-21	8.1092596153e-21	91.8387096774	20.392
BRAF	35	185	0	220	6.69775734944e-12	1.33955146989e-11	inf	11.1741
SMAD4	31	189	1	219	2.64127752583e-09	5.28255505166e-09	35.9206349206	8.57819
SOX9	24	196	0	220	3.07139671536e-08	6.14279343073e-08	inf	7.51266
FAT4	69	151	24	196	9.0127026342e-08	1.80254052684e-07	3.73178807947	7.04514
ARID1A	29	191	2	218	9.77688731933e-08	1.95537746387e-07	16.5497382199	7.0098
TTN	160	60	106	114	1.00591837026e-07	2.01183674053e-07	2.8679245283	6.99744
FBXW7	26	194	1	219	1.00746183118e-07	2.01492366237e-07	29.3505154639	6.99677
AMER1	20	200	0	220	6.06871967483e-07	1.21374393497e-06	inf	6.2169
CSMD3	48	172	13	207	7.76432067455e-07	1.55286413491e-06	4.44364937388	6.1099
PTEN	19	201	0	220	1.27110994184e-06	2.54221988369e-06	inf	5.89582
ZFHX4	52	168	17	203	2.84584580498e-06	5.69169160995e-06	3.69607843137	5.54579
USP9X	24	196	2	218	2.9920214629e-06	5.9840429258e-06	13.3469387755	5.52404
SYNE1	73	147	32	188	3.14636399645e-06	6.29272799291e-06	2.9175170068	5.50219
ATRX	17	203	0	220	5.53335490607e-06	1.10667098121e-05	inf	5.25701
GRIK2	27	193	4	216	9.07971320499e-06	1.815942641e-05	7.55440414508	5.04193
RYR2	77	143	37	183	9.55397435505e-06	1.91079487101e-05	2.6632016632	5.01982
NAV3	22	198	2	218	1.13247230058e-05	2.26494460116e-05	12.1111111111	4.94597
CDH10	16	204	0	220	1.15006984322e-05	2.30013968645e-05	inf	4.93928
RNF43	41	179	12	208	1.39800962886e-05	2.79601925773e-05	3.97020484171	4.85449
