#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
TP53	94	126	0	220	1.4328179834e-34	2.86563596681e-34	inf	33.8438
KRAS	95	125	2	218	9.98047384908e-32	1.99609476982e-31	82.84	31.0008
PIK3CA	64	156	1	219	9.60125286651e-21	1.9202505733e-20	89.8461538462	20.0177
BRAF	32	188	0	220	6.90553952665e-11	1.38110790533e-10	inf	10.1608
RYR2	48	172	8	212	3.02129898637e-09	6.04259797273e-09	7.39534883721	8.51981
SMAD4	25	195	1	219	2.06255390871e-07	4.12510781741e-07	28.0769230769	6.68559
FAT4	63	157	23	197	9.85611822149e-07	1.9712236443e-06	3.43699806148	6.00629
TTN	150	70	104	116	6.52757786521e-06	1.30551557304e-05	2.39010989011	5.18525
ZNF536	24	196	3	217	1.47272292639e-05	2.94544585278e-05	8.85714285714	4.83188
SYNE1	69	151	32	188	1.93861149042e-05	3.87722298084e-05	2.68460264901	4.71251
USP9X	21	199	2	218	2.18393829842e-05	4.36787659685e-05	11.5025125628	4.66076
ATRX	15	205	0	220	2.38429113839e-05	4.76858227678e-05	inf	4.62264
CSMD3	41	179	13	207	3.20721611396e-05	6.41443222791e-05	3.64718521702	4.49387
ZFHX4	45	175	16	204	4.38773557885e-05	8.77547115771e-05	3.27857142857	4.35776
SLIT1	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
CTNNB1	17	203	1	219	5.44571075035e-05	0.000108914215007	18.3399014778	4.26395
NAV3	19	201	2	218	7.96986364859e-05	0.000159397272972	10.3034825871	4.09855
SDK1	39	181	13	207	8.6451989484e-05	0.000172903978968	3.43093922652	4.06323
GLUD2	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
GABRA5	13	207	0	220	0.000101708955175	0.000203417910349	inf	3.99264
TRPS1	23	197	4	216	0.000101981775591	0.000203963551183	6.30456852792	3.99148
HUWE1	16	204	1	219	0.000106978194851	0.000213956389702	17.1764705882	3.9707
FBXW7	16	204	1	219	0.000106978194851	0.000213956389702	17.1764705882	3.9707
DSCAM	28	192	7	213	0.000149410919431	0.000298821838863	4.4375	3.82562
TRPC4	12	208	0	220	0.000209285734686	0.000418571469372	inf	3.67926
KCNB1	12	208	0	220	0.000209285734686	0.000418571469372	inf	3.67926
TSHZ3	27	193	7	213	0.000254010414254	0.000508020828507	4.25684678016	3.59515
IGSF9B	17	203	2	218	0.00028296117473	0.00056592234946	9.12807881773	3.54827
PCDH17	25	195	6	214	0.000285921081975	0.00057184216395	4.57264957265	3.54375
OBSCN	67	153	36	184	0.000342730806594	0.000685461613189	2.2381989833	3.46505
TUBA3C	14	206	1	219	0.000405792462679	0.000811584925359	14.8834951456	3.3917
NRXN2	14	206	1	219	0.000405792462679	0.000811584925359	14.8834951456	3.3917
GRM5	14	206	1	219	0.000405792462679	0.000811584925359	14.8834951456	3.3917
STAG1	11	209	0	220	0.00042958650804	0.00085917301608	inf	3.36695
SMC1A	11	209	0	220	0.00042958650804	0.00085917301608	inf	3.36695
GRIK3	11	209	0	220	0.00042958650804	0.00085917301608	inf	3.36695
GABBR2	11	209	0	220	0.00042958650804	0.00085917301608	inf	3.36695
CACNA1E	24	196	6	214	0.000487493969266	0.000974987938533	4.36734693878	3.31203
COL12A1	29	191	9	211	0.000508535659711	0.00101707131942	3.55962769052	3.29368
CTNNA2	16	204	2	218	0.000527146893629	0.00105429378726	8.54901960784	3.27807
CNTNAP5	16	204	2	218	0.000527146893629	0.00105429378726	8.54901960784	3.27807
LRRK2	27	193	8	212	0.000607033709279	0.00121406741856	3.70725388601	3.21679
DNAH11	50	170	24	196	0.00066285813443	0.00132571626886	2.40196078431	3.17858
NALCN	25	195	7	213	0.000713709018819	0.00142741803764	3.9010989011	3.14648
GRM1	13	207	1	219	0.000782944579998	0.00156588915999	13.7536231884	3.10627
ERBB4	13	207	1	219	0.000782944579998	0.00156588915999	13.7536231884	3.10627
ATP2B2	13	207	1	219	0.000782944579998	0.00156588915999	13.7536231884	3.10627
MTOR	23	197	6	214	0.000823107710544	0.00164621542109	4.1641285956	3.08454
FRY	28	192	9	211	0.000825233804456	0.00165046760891	3.41898148148	3.08342
FAT3	52	168	26	194	0.000840542339259	0.00168108467852	2.30952380952	3.07544
SMAD3	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
PCDH18	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
KCNH1	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
KCNA1	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
GRM7	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
GRIA2	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
CDH10	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
BRINP3	10	210	0	220	0.000879629516463	0.00175925903293	inf	3.0557
PLXNA4	21	199	5	215	0.000925300456901	0.0018506009138	4.53768844221	3.03372
LRFN5	15	205	2	218	0.00097396043672	0.00194792087344	7.9756097561	3.01146
RYR1	49	171	24	196	0.000976311687881	0.00195262337576	2.34015594542	3.01041
TENM1	26	194	8	212	0.000992811743019	0.00198562348604	3.55154639175	3.00313
RIMS1	19	201	4	216	0.00100368734631	0.00200737469261	5.10447761194	2.9984
CACNA1B	19	201	4	216	0.00100368734631	0.00200737469261	5.10447761194	2.9984
DNAH2	38	182	16	204	0.00102459260865	0.00204918521731	2.66208791209	2.98945
SCN2A	17	203	3	217	0.00103233872537	0.00206467745073	6.05747126437	2.98618
MAP1B	17	203	3	217	0.00103233872537	0.00206467745073	6.05747126437	2.98618
GRIK2	17	203	3	217	0.00103233872537	0.00206467745073	6.05747126437	2.98618
CDH2	17	203	3	217	0.00103233872537	0.00206467745073	6.05747126437	2.98618
BRWD3	17	203	3	217	0.00103233872537	0.00206467745073	6.05747126437	2.98618
RYR3	54	166	28	192	0.00103952924363	0.00207905848726	2.23063683305	2.98316
DNAH10	42	178	19	201	0.00110066169378	0.00220132338755	2.49615612064	2.95835
PREX2	27	193	9	211	0.00132567097926	0.00265134195853	3.27979274611	2.87756
MYCBP2	27	193	9	211	0.00132567097926	0.00265134195853	3.27979274611	2.87756
LAMA1	22	198	6	214	0.0013756254215	0.002751250843	3.96296296296	2.8615
ITPR1	22	198	6	214	0.0013756254215	0.002751250843	3.96296296296	2.8615
CACNA1H	30	190	11	209	0.00138140280889	0.00276280561778	3.0	2.85968
PRKD1	12	208	1	219	0.00150020708883	0.00300041417765	12.6346153846	2.82385
PHIP	12	208	1	219	0.00150020708883	0.00300041417765	12.6346153846	2.82385
GRM2	12	208	1	219	0.00150020708883	0.00300041417765	12.6346153846	2.82385
GNAS	12	208	1	219	0.00150020708883	0.00300041417765	12.6346153846	2.82385
DPP6	12	208	1	219	0.00150020708883	0.00300041417765	12.6346153846	2.82385
HECW1	20	200	5	215	0.00156975909581	0.00313951819162	4.3	2.80417
DOCK2	20	200	5	215	0.00156975909581	0.00313951819162	4.3	2.80417
NCOR1	18	202	4	216	0.00173543469883	0.00347086939767	4.81188118812	2.76059
NBEA	18	202	4	216	0.00173543469883	0.00347086939767	4.81188118812	2.76059
