#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
CRMP1 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
TTN 115 105 81 139 0.000759502786655 0.00151900557331 1.87948265726 3.11947
ZFHX4 28 192 10 210 0.00171198860974 0.00342397721948 3.0625 2.7665
OBSCN 55 165 30 190 0.00179353006868 0.00358706013737 2.11111111111 2.74629
DCHS2 23 197 7 213 0.00192583857474 0.00385167714948 3.55257432922 2.71538
FAT3 32 188 13 207 0.00209496210612 0.00418992421224 2.71031096563 2.67882
PCDHA9 19 201 5 215 0.00263423804168 0.00526847608335 4.06467661692 2.57934
MYH7 27 193 10 210 0.00267685135124 0.00535370270248 2.9378238342 2.57238
NWD1 11 209 1 219 0.00285289501493 0.00570579002986 11.5263157895 2.54471
PCDHGA6 17 203 4 216 0.00296823073117 0.00593646146235 4.52216748768 2.5275
PIK3CG 13 207 2 218 0.00323443334256 0.00646886668513 6.84541062802 2.4902
NEFH 58 162 34 186 0.0034021616792 0.00680432335839 1.95860566449 2.46825
KIF17 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
MUC16 51 169 29 191 0.00457488897882 0.00914977795765 1.9875535605 2.33962
TMEM132C 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
PCDHA13 14 206 3 217 0.00556139074564 0.0111227814913 4.91585760518 2.25482
SCN8A 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
PCDH17 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
CUZD1 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
PCLO 25 195 10 210 0.00632797906888 0.0126559581378 2.69230769231 2.19873
GLI3 17 203 5 215 0.00715973724112 0.0143194744822 3.60098522167 2.1451
PCDHGA12 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
PARP1 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
GJA8 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
CTNNA2 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
ROBO1 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
PDZRN3 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
HECW1 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
SLC6A19 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
NIN 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
MTUS2 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
AP3D1 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
ADAMTS2 21 199 8 212 0.00984971211575 0.0196994242315 2.79648241206 2.00658
GRIN2A 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
ABCC1 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
SEMA5B 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
PCDH10 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
OR4L1 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
TECTA 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
STAB1 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
PCDHA8 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
SYNE1 39 181 22 198 0.0133397766821 0.0266795533642 1.93922651934 1.87485
ALK 14 206 4 216 0.0137981598228 0.0275963196455 3.66990291262 1.86018
TRIO 23 197 10 210 0.0142571706357 0.0285143412714 2.45177664975 1.84597
VSIG10 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
TNN 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
PVR 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
POU3F4 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
LHX6 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
HHIPL2 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
GPR45 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
DOCK4 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
THBS2 12 208 3 217 0.0160811773387 0.0321623546774 4.17307692308 1.79368
CTNND2 12 208 3 217 0.0160811773387 0.0321623546774 4.17307692308 1.79368
CSMD1 48 172 30 190 0.0166837608493 0.0333675216987 1.76744186047 1.77771
ZNF814 49 171 31 189 0.0175860978905 0.0351721957809 1.74702886248 1.75483
PLXND1 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
PAPPA 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
HCLS1 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
APBA2 15 205 5 215 0.018456477763 0.036912955526 3.14634146341 1.73385
PACSIN2 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
GABRA5 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
NCOR2 34 186 19 201 0.0197632804792 0.0395265609584 1.9337860781 1.70414
RYR3 30 190 16 204 0.0209314339905 0.0418628679809 2.01315789474 1.6792
SVEP1 22 198 10 210 0.0209893341674 0.0419786683347 2.33333333333 1.678
SYNPO2 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
SALL1 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
PCDHGB3 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
PCDHB10 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
HRC 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
ADGRE1 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
PCDHA11 19 201 8 212 0.0225933167436 0.0451866334872 2.50497512438 1.64602
FREM2 19 201 8 212 0.0225933167436 0.0451866334872 2.50497512438 1.64602
XIRP2 23 197 11 209 0.0240824903846 0.0481649807692 2.21827411168 1.6183
APOB 23 197 11 209 0.0240824903846 0.0481649807692 2.21827411168 1.6183
RYR2 37 183 22 198 0.0247262999395 0.049452599879 1.81967213115 1.60684
TGM6 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
SLITRK5 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
SLC9A3 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
PCDHB5 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
NEDD9 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
TNC 24 196 12 208 0.0272132243903 0.0544264487806 2.12244897959 1.56522
ZNF469 29 191 16 204 0.0290232968557 0.0580465937115 1.93586387435 1.53725
LRP1B 25 195 13 207 0.0303608613258 0.0607217226516 2.04142011834 1.51769
AHNAK 25 195 13 207 0.0303608613258 0.0607217226516 2.04142011834 1.51769
WNK2 21 199 10 210 0.0304786400499 0.0609572800998 2.21608040201 1.516
SPEG 21 199 10 210 0.0304786400499 0.0609572800998 2.21608040201 1.516
ZNF385D 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
VASH1 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
TLR8 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
SLC46A3 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
SLC18A3 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
SLC15A1 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
REC8 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
RBM33 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
RALGAPB 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
PRSS54 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
PCDHGA2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
NOP56 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
MOK 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
INF2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
HSPA2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
HRG 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
GIMAP7 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
FAM110B 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
