#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
KRAS 191 265 1 455 3.4377263823e-67 6.87545276459e-67 327.943396226 66.4637
TP53 177 279 0 456 2.69204917405e-63 5.3840983481e-63 inf 62.5699
PIK3CA 138 318 0 456 1.3457663619e-47 2.69153272381e-47 inf 46.871
TTN 253 203 83 373 1.89779132805e-32 3.7955826561e-32 5.60086652027 31.7218
FAT4 120 336 18 438 6.76312327319e-23 1.35262465464e-22 8.69047619048 22.1699
RYR2 95 361 9 447 1.59552347605e-21 3.19104695209e-21 13.0701754386 20.7971
BRAF 62 394 0 456 2.34254486219e-20 4.68508972439e-20 inf 19.6303
SYNE1 138 318 40 416 5.85488881518e-17 1.17097776303e-16 4.51320754717 16.2325
PCDH17 55 401 1 455 1.48484279158e-16 2.96968558316e-16 62.4064837905 15.8283
CSMD3 79 377 10 446 5.35167461315e-16 1.07033492263e-15 9.34588859416 15.2715
PCLO 71 385 8 448 4.60455468597e-15 9.20910937194e-15 10.3272727273 14.3368
ZFHX4 85 371 15 441 1.21133171419e-14 2.42266342838e-14 6.7358490566 13.9167
CSMD1 78 378 12 444 1.88783566736e-14 3.77567133472e-14 7.63492063492 13.724
FBXW7 52 404 2 454 1.97458427013e-14 3.94916854027e-14 29.2178217822 13.7045
RYR3 84 372 15 441 2.25566757006e-14 4.51133514012e-14 6.63870967742 13.6467
CACNA1E 59 397 5 451 8.28332972721e-14 1.65666594544e-13 13.4050377834 13.0818
NALCN 49 407 2 454 1.67591329515e-13 3.3518265903e-13 27.3292383292 12.7757
UNC80 48 408 2 454 3.40470908669e-13 6.80941817338e-13 26.7058823529 12.4679
DSCAM 54 402 4 452 3.76107631916e-13 7.52215263831e-13 15.1791044776 12.4247
RYR1 83 373 17 439 4.57831528927e-13 9.15663057855e-13 5.74625453399 12.3393
FRY 47 409 2 454 6.90254061093e-13 1.38050812219e-12 26.0855745721 12.161
HUWE1 39 417 0 456 7.78563387622e-13 1.55712677524e-12 inf 12.1087
TRPS1 46 410 2 454 1.39645388417e-12 2.79290776833e-12 25.4682926829 11.855
KIAA1109 57 399 6 450 1.81485467225e-12 3.62970934451e-12 10.7142857143 11.7412
PCDH10 42 414 1 455 1.94540836973e-12 3.89081673946e-12 46.1594202899 11.711
SDK1 66 390 10 446 2.3210934916e-12 4.6421869832e-12 7.54769230769 11.6343
DNAH5 84 372 19 437 2.32386060441e-12 4.64772120882e-12 5.1935483871 11.6338
TSHZ3 45 411 2 454 2.81916301677e-12 5.63832603355e-12 24.8540145985 11.5499
HECW1 47 409 3 453 6.17019011574e-12 1.23403802315e-11 17.3520782396 11.2097
TRRAP 49 407 4 452 1.10968475271e-11 2.21936950542e-11 13.6044226044 10.9548
SCN2A 35 421 0 456 1.47705093243e-11 2.95410186487e-11 inf 10.8306
SMAD4 39 417 1 455 1.66387825004e-11 3.32775650008e-11 42.5539568345 10.7789
OBSCN 84 372 21 435 1.80657405269e-11 3.61314810538e-11 4.67741935484 10.7431
LRP1B 82 374 20 436 2.03550825572e-11 4.07101651145e-11 4.77967914439 10.6913
PTPRS 41 415 2 454 4.5810517675e-11 9.16210353501e-11 22.4265060241 10.339
PTPRT 52 404 6 450 4.67200868509e-11 9.34401737018e-11 9.65346534653 10.3305
CDH2 33 423 0 456 6.38595779256e-11 1.27719155851e-10 inf 10.1948
ERBB4 37 419 1 455 6.89509182302e-11 1.3790183646e-10 40.1789976134 10.1615
FAT3 88 368 25 431 8.70940381739e-11 1.74188076348e-10 4.12260869565 10.06
ROBO1 51 405 6 450 8.86358327986e-11 1.77271665597e-10 9.44444444444 10.0524
NRXN1 53 403 7 449 1.13056953042e-10 2.26113906084e-10 8.43566111308 9.9467
SCN3A 36 420 1 455 1.39964885853e-10 2.79929771707e-10 39.0 9.85398
KMT2B 36 420 1 455 1.39964885853e-10 2.79929771707e-10 39.0 9.85398
CHD4 36 420 1 455 1.39964885853e-10 2.79929771707e-10 39.0 9.85398
BRWD3 36 420 1 455 1.39964885853e-10 2.79929771707e-10 39.0 9.85398
MTOR 45 411 4 452 1.58427974396e-10 3.16855948792e-10 12.3722627737 9.80017
NFASC 35 421 1 455 2.83570200107e-10 5.67140400215e-10 37.8266033254 9.54734
FLNC 44 412 4 452 3.05731893872e-10 6.11463787744e-10 12.067961165 9.51466
NEB 87 369 26 430 3.50380530651e-10 7.00761061302e-10 3.89931207004 9.45546
DCC 38 418 2 454 3.61921064621e-10 7.23842129242e-10 20.6363636364 9.44139
DST 80 376 22 434 4.07798177623e-10 8.15596355246e-10 4.19729206963 9.38955
USH2A 65 391 14 442 5.5415140486e-10 1.10830280972e-09 5.24844720497 9.25637
GRM5 30 426 0 456 5.68838291992e-10 1.13767658398e-09 inf 9.24501
CDH10 30 426 0 456 5.68838291992e-10 1.13767658398e-09 inf 9.24501
PCDH9 43 413 4 452 5.88213017905e-10 1.17642603581e-09 11.7651331719 9.23047
NBEA 43 413 4 452 5.88213017905e-10 1.17642603581e-09 11.7651331719 9.23047
RIMS1 37 419 2 454 7.17339318269e-10 1.43467863654e-09 20.0453460621 9.14428
PAPPA 33 423 1 455 1.15710067989e-09 2.31420135977e-09 35.4964539007 8.93663
GRIA2 29 427 0 456 1.17630962958e-09 2.35261925915e-09 inf 8.92948
COL12A1 61 395 13 443 1.7900757894e-09 3.5801515788e-09 5.26251217137 8.74713
MYCBP2 55 401 10 446 1.80814698619e-09 3.61629397237e-09 6.11720698254 8.74277
TENM1 46 410 6 450 2.07254988192e-09 4.14509976383e-09 8.41463414634 8.6835
DSCAML1 46 410 6 450 2.07254988192e-09 4.14509976383e-09 8.41463414634 8.6835
