#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
TTN 180 276 61 395 1.03824847046e-19 2.07649694093e-19 4.22309337135 18.9837
MUC16 95 361 25 431 1.9452512438e-12 3.8905024876e-12 4.53684210526 11.711
FAT3 64 392 10 446 8.03596581452e-12 1.6071931629e-11 7.28163265306 11.095
PCDH17 39 417 3 453 1.36120842155e-09 2.7224168431e-09 14.1223021583 8.86608
OBSCN 83 373 27 429 5.92146437295e-09 1.18429287459e-08 3.53559725946 8.22757
XPOT 25 431 0 456 2.12533670565e-08 4.2506734113e-08 inf 7.67257
FLG2 41 415 6 450 4.42766999264e-08 8.85533998528e-08 7.40963855422 7.35382
NCOA6 33 423 3 453 6.89564205148e-08 1.3791284103e-07 11.780141844 7.16143
CCDC168 50 406 11 445 9.50385981898e-08 1.9007719638e-07 4.98208687864 7.0221
DCHS2 32 424 3 453 1.31102988212e-07 2.62205976424e-07 11.3962264151 6.88239
MLLT3 39 417 6 450 1.46512091006e-07 2.93024182012e-07 7.01438848921 6.83413
PCDHGA6 29 427 2 454 1.55112439294e-07 3.10224878588e-07 15.4168618267 6.80935
TECTA 31 425 3 453 2.48352149614e-07 4.96704299228e-07 11.0141176471 6.60493
PCDH10 28 428 2 454 2.99712988913e-07 5.99425977826e-07 14.8504672897 6.52329
RYR1 53 403 14 442 3.63846565084e-07 7.27693130168e-07 4.15207373272 6.43908
THBS2 21 435 0 456 3.76755456245e-07 7.5351091249e-07 inf 6.42394
ALG13 32 424 4 452 6.2827552979e-07 1.25655105958e-06 8.52830188679 6.20185
FAT4 53 403 15 441 8.8190080698e-07 1.76380161396e-06 3.86650124069 6.05458
NUDT10 23 433 1 455 1.14788088389e-06 2.29576176779e-06 24.168591224 5.9401
ZFHX3 41 415 9 447 1.56564126522e-06 3.13128253043e-06 4.90682730924 5.80531
PCDHB3 22 434 1 455 2.25726874929e-06 4.51453749858e-06 23.064516129 5.64642
PCDHA13 32 424 5 451 2.47530557466e-06 4.95061114933e-06 6.80754716981 5.60637
HECW1 29 427 4 452 3.87041299992e-06 7.74082599985e-06 7.67447306792 5.41224
TENM4 24 432 2 454 4.03448037045e-06 8.0689607409e-06 12.6111111111 5.39421
MFSD14B 24 432 2 454 4.03448037045e-06 8.0689607409e-06 12.6111111111 5.39421
DSCAM 24 432 2 454 4.03448037045e-06 8.0689607409e-06 12.6111111111 5.39421
NIN 21 435 1 455 4.42592520821e-06 8.85185041642e-06 21.9655172414 5.354
ALMS1 31 425 5 451 4.43533039876e-06 8.87066079752e-06 6.57929411765 5.35307
SYNE1 87 369 40 416 4.47511420243e-06 8.95022840486e-06 2.45203252033 5.3492
CSMD1 57 399 20 436 6.46481654012e-06 1.29296330802e-05 3.11428571429 5.18944
ZFHX4 42 414 11 445 6.47330408829e-06 1.29466081766e-05 4.10408432148 5.18887
BRWD3 17 439 0 456 6.55435350315e-06 1.31087070063e-05 inf 5.18347
RYR2 66 390 26 430 6.91111920181e-06 1.38222384036e-05 2.79881656805 5.16045
USH2A 52 404 17 439 7.11780918687e-06 1.42356183737e-05 3.32382061736 5.14765
LRP2 38 418 9 447 7.72302185341e-06 1.54460437068e-05 4.51515151515 5.11221
PCDHA9 30 426 5 451 7.9060159832e-06 1.58120319664e-05 6.35211267606 5.10204
CFAP46 30 426 5 451 7.9060159832e-06 1.58120319664e-05 6.35211267606 5.10204
FAM47B 20 436 1 455 8.65154960533e-06 1.73030992107e-05 20.871559633 5.06291
ADCY2 20 436 1 455 8.65154960533e-06 1.73030992107e-05 20.871559633 5.06291
PCDHA11 25 431 3 453 1.05374865829e-05 2.10749731658e-05 8.75870069606 4.97726
PCDHA6 27 429 4 452 1.26939013573e-05 2.53878027146e-05 7.11188811189 4.8964
PCDH9 16 440 0 456 1.33470471337e-05 2.66940942674e-05 inf 4.87461
GRIN2A 16 440 0 456 1.33470471337e-05 2.66940942674e-05 inf 4.87461
TNXB 49 407 16 440 1.34265584848e-05 2.68531169696e-05 3.31081081081 4.87204
MYH7 33 423 7 449 1.44694292815e-05 2.89388585629e-05 5.0040526849 4.83955
AHNAK 42 414 12 444 1.55145245486e-05 3.10290490972e-05 3.75362318841 4.80926
ADAMTS16 19 437 1 455 1.68569137501e-05 3.37138275002e-05 19.7826086957 4.77322
CSMD2 40 416 11 445 1.76170712627e-05 3.52341425254e-05 3.88986013986 4.75407
MAML2 36 420 9 447 2.17496504841e-05 4.34993009683e-05 4.25714285714 4.66255
FNDC1 26 430 4 452 2.28055363044e-05 4.56110726088e-05 6.83255813953 4.64196
PCLO 51 405 18 438 2.30425408586e-05 4.60850817172e-05 3.06419753086 4.63747
LOXHD1 28 428 5 451 2.47067974329e-05 4.94135948658e-05 5.90093457944 4.60718
GLI3 30 426 6 450 2.52594439054e-05 5.05188878109e-05 5.28169014085 4.59758
KIAA1683 15 441 0 456 2.71480754624e-05 5.42961509248e-05 inf 4.56626
SDK2 21 435 2 454 2.71968180269e-05 5.43936360537e-05 10.9586206897 4.56548
PLXND1 21 435 2 454 2.71968180269e-05 5.43936360537e-05 10.9586206897 4.56548
