#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
APC 319 137 6 450 2.18425814722e-124 4.36851629444e-124 174.635036496 123.661
TP53 239 217 0 456 2.04287137961e-91 4.08574275922e-91 inf 90.6898
KRAS 191 265 1 455 3.4377263823e-67 6.87545276459e-67 327.943396226 66.4637
PIK3CA 139 317 0 456 5.52911761091e-48 1.10582352218e-47 inf 47.2573
TTN 274 182 83 373 8.71849570949e-40 1.7436991419e-39 6.76565603072 39.0596
RYR2 109 347 9 447 5.61617385049e-26 1.1232347701e-25 15.6013448607 25.2506
FAT4 130 326 18 438 5.6164705995e-26 1.1232941199e-25 9.70347648262 25.2505
PCLO 102 354 8 448 1.4432569639e-24 2.8865139278e-24 16.1355932203 23.8407
FBXW7 78 378 2 454 8.68070856638e-23 1.73614171327e-22 46.8412698413 22.0614
BRAF 66 390 0 456 1.07258973151e-21 2.14517946301e-21 inf 20.9696
SYNE1 155 301 40 416 1.75467378584e-21 3.50934757169e-21 5.35548172757 20.7558
SOX9 63 393 0 456 1.08583844201e-20 2.17167688401e-20 inf 19.9642
CSMD3 92 364 10 446 7.6733105844e-20 1.53466211688e-19 11.2725274725 19.115
ZFHX4 97 359 15 441 5.49313672449e-18 1.0986273449e-17 7.94373259053 17.2602
CCDC168 59 397 1 455 7.59183584181e-18 1.51836716836e-17 67.6196473552 17.1197
PCDH17 58 398 1 455 1.60042270777e-17 3.20084541555e-17 66.3065326633 16.7958
RYR1 98 358 17 439 4.24260792093e-17 8.48521584187e-17 7.06901084456 16.3724
DSCAM 67 389 4 452 4.26204670139e-17 8.52409340277e-17 19.4627249357 16.3704
FRY 60 396 2 454 6.04576072647e-17 1.20915214529e-16 34.3939393939 16.2185
RYR3 92 364 15 441 1.43082790194e-16 2.86165580387e-16 7.43076923077 15.8444
CSMD1 85 371 12 444 2.04401790162e-16 4.08803580323e-16 8.47708894879 15.6895
UNC80 58 398 2 454 2.59963572919e-16 5.19927145839e-16 33.0804020101 15.5851
LRP1B 101 355 20 436 2.66908148784e-16 5.33816297568e-16 6.20225352113 15.5736
NALCN 57 399 2 454 5.37551400018e-16 1.07510280004e-15 32.4285714286 15.2696
DMD 81 375 11 445 6.49211487315e-16 1.29842297463e-15 8.73818181818 15.1876
AMER1 53 403 1 455 6.50289193677e-16 1.30057838735e-15 59.8387096774 15.1869
OBSCN 101 355 21 435 8.63102004402e-16 1.72620400881e-15 5.89336016097 15.0639
CACNA1E 65 391 5 451 1.3459005199e-15 2.69180103979e-15 14.9948849105 14.871
KMT2B 52 404 1 455 1.35753191618e-15 2.71506383237e-15 58.5643564356 14.8672
ANK3 76 380 10 446 3.86461549064e-15 7.72923098129e-15 8.92 14.4129
TCF7L2 54 402 2 454 4.69869636877e-15 9.39739273753e-15 30.4925373134 14.328
DNAH5 96 360 20 436 5.77784770684e-15 1.15556954137e-14 5.81333333333 14.2382
NFASC 50 406 1 455 5.88683059224e-15 1.17736611845e-14 56.0344827586 14.2301
TCERG1 45 411 0 456 9.07426441779e-15 1.81485288356e-14 inf 14.0422
KIAA1109 64 392 6 450 1.70377679366e-14 3.40755358732e-14 12.2448979592 13.7686
CDH10 44 412 0 456 1.91176250356e-14 3.82352500711e-14 inf 13.7186
TRPS1 52 404 2 454 1.97458427013e-14 3.94916854027e-14 29.2178217822 13.7045
KIF21A 52 404 2 454 1.97458427013e-14 3.94916854027e-14 29.2178217822 13.7045
NBEA 58 398 4 452 2.39657244181e-14 4.79314488362e-14 16.4673366834 13.6204
SMAD4 48 408 1 455 2.53578924982e-14 5.07157849965e-14 53.5294117647 13.5959
PCDH10 48 408 1 455 2.53578924982e-14 5.07157849965e-14 53.5294117647 13.5959
SDK1 73 383 10 446 2.71937624976e-14 5.43875249951e-14 8.50078328982 13.5655
HUWE1 43 413 0 456 4.02257049779e-14 8.04514099559e-14 inf 13.3955
TSHZ3 51 405 2 454 4.03589120753e-14 8.07178241506e-14 28.5851851852 13.3941
ZC3H13 70 386 9 447 4.28049302679e-14 8.56098605359e-14 9.00690846287 13.3685
ASH1L 54 402 3 453 4.81383379532e-14 9.62766759064e-14 20.2835820896 13.3175
ATRX 47 409 1 455 5.24965116246e-14 1.04993023249e-13 52.2860635697 13.2799
HECW1 53 403 3 453 9.69675132329e-14 1.93935026466e-13 19.858560794 13.0134
SCN3A 46 410 1 455 1.0849473548e-13 2.16989470961e-13 51.0487804878 12.9646
ARID1A 58 398 5 451 1.63135008708e-13 3.26270017416e-13 13.1447236181 12.7875
TRRAP 55 401 4 452 1.89663816092e-13 3.79327632184e-13 15.4987531172 12.722
CHD4 44 412 1 455 4.61025492217e-13 9.22050984433e-13 48.5922330097 12.3363
BMPR2 44 412 1 455 4.61025492217e-13 9.22050984433e-13 48.5922330097 12.3363
NEB 101 355 27 429 4.61562850267e-13 9.23125700533e-13 4.52050078247 12.3358
DST 94 362 23 433 4.77101422952e-13 9.54202845903e-13 4.88854191689 12.3214
ROBO1 59 397 6 450 4.84846896662e-13 9.69693793324e-13 11.1460957179 12.3144
PTPRT 59 397 6 450 4.84846896662e-13 9.69693793324e-13 11.1460957179 12.3144
ATM 70 386 11 445 7.45715860721e-13 1.49143172144e-12 7.33631653321 12.1274
HECTD4 63 393 8 448 8.71175274887e-13 1.74235054977e-12 8.97709923664 12.0599
USH2A 76 380 14 442 8.772987452e-13 1.7545974904e-12 6.31428571429 12.0569
USP9X 43 413 1 455 9.47873142501e-13 1.895746285e-12 47.3728813559 12.0232
MYCBP2 67 389 10 446 1.24134136301e-12 2.48268272602e-12 7.68174807198 11.9061
NRXN1 60 396 7 449 1.29065334934e-12 2.58130669868e-12 9.71861471861 11.8892
PCDH9 52 404 4 452 1.46781034992e-12 2.93562069985e-12 14.5445544554 11.8333
SCN2A 38 418 0 456 1.62790526503e-12 3.25581053006e-12 inf 11.7884
PDS5B 38 418 0 456 1.62790526503e-12 3.25581053006e-12 inf 11.7884
TENM1 57 399 6 450 1.81485467225e-12 3.62970934451e-12 10.7142857143 11.7412
ERBB4 42 414 1 455 1.94540836973e-12 3.89081673946e-12 46.1594202899 11.711
RIMS1 45 411 2 454 2.81916301677e-12 5.63832603355e-12 24.8540145985 11.5499
COL12A1 72 384 13 443 2.88319090036e-12 5.76638180073e-12 6.38942307692 11.5401
RNF43 51 405 4 452 2.88845805864e-12 5.77691611727e-12 14.2296296296 11.5393
NIPBL 51 405 4 452 2.88845805864e-12 5.77691611727e-12 14.2296296296 11.5393
FAT3 94 362 25 431 3.38558307129e-12 6.77116614258e-12 4.47668508287 11.4704
BRWD3 41 415 1 455 3.98564601183e-12 7.97129202367e-12 44.9518072289 11.3995
SACS 83 373 19 437 4.12915494529e-12 8.25830989059e-12 5.11796246649 11.3841
XIRP2 65 391 10 446 4.32595294263e-12 8.65190588527e-12 7.41432225064 11.3639
DOCK3 53 403 5 451 4.6431264957e-12 9.28625299139e-12 11.8625310174 11.3332
