#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
DCHS2 26 194 7 213 0.000427846021022 0.000855692042044 4.07805596465 3.36871
CRMP1 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
ZFHX4 33 187 12 208 0.000706995113384 0.00141399022677 3.05882352941 3.15058
TTN 118 102 84 136 0.000781953089852 0.0015639061797 1.87301587302 3.10682
PIK3CG 14 206 2 218 0.00178350696182 0.00356701392365 7.40776699029 2.74873
MTUS2 16 204 3 217 0.00182947072776 0.00365894145551 5.67320261438 2.73767
FAT3 32 188 13 207 0.00209496210612 0.00418992421224 2.71031096563 2.67882
OBSCN 58 162 33 187 0.00227881820217 0.00455763640435 2.02880658436 2.64229
MUC16 53 167 29 191 0.00233125322783 0.00466250645566 2.09023332645 2.63241
PCDHA9 19 201 5 215 0.00263423804168 0.00526847608335 4.06467661692 2.57934
MYH7 27 193 10 210 0.00267685135124 0.00535370270248 2.9378238342 2.57238
NWD1 11 209 1 219 0.00285289501493 0.00570579002986 11.5263157895 2.54471
PCDHGA6 17 203 4 216 0.00296823073117 0.00593646146235 4.52216748768 2.5275
NEFH 58 162 34 186 0.0034021616792 0.00680432335839 1.95860566449 2.46825
TNN 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
KIF17 8 212 0 220 0.00366136052332 0.00732272104664 inf 2.43636
TECTA 18 202 5 215 0.00436972516793 0.00873945033587 3.83168316832 2.35955
SALL1 16 204 4 216 0.00501799873732 0.0100359974746 4.23529411765 2.29947
PDZRN3 16 204 4 216 0.00501799873732 0.0100359974746 4.23529411765 2.29947
TRPS1 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
TMEM132C 10 210 1 219 0.00538005960069 0.0107601192014 10.4285714286 2.26921
PCDHA13 14 206 3 217 0.00556139074564 0.0111227814913 4.91585760518 2.25482
SCN8A 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
PCDH17 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
PCDH10 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
PAPPA 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
CUZD1 12 208 2 218 0.00580378214179 0.0116075642836 6.28846153846 2.23629
POU3F4 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
PCDHGA12 7 213 0 220 0.00744304744882 0.0148860948976 inf 2.12825
ROBO1 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
NIN 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
HECW1 15 205 4 216 0.00837761849374 0.0167552369875 3.9512195122 2.07688
PCLO 27 193 12 208 0.00894420434887 0.0178884086978 2.42487046632 2.04846
SLC6A19 13 207 3 217 0.00952178099244 0.0190435619849 4.54267310789 2.02128
GLI3 18 202 6 214 0.00957618654671 0.0191523730934 3.17821782178 2.01881
ADAMTS2 21 199 8 212 0.00984971211575 0.0196994242315 2.79648241206 2.00658
HSPA2 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
GRIN2A 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
GABRA5 9 211 1 219 0.0100511221052 0.0201022442103 9.34123222749 1.99779
RYR3 36 184 19 201 0.010216594827 0.020433189654 2.06979405034 1.99069
SEMA5B 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
SCN9A 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
PCDHA7 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
OR4L1 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
HDAC9 11 209 2 218 0.0102926786085 0.020585357217 5.73684210526 1.98747
SYNE1 41 179 23 197 0.0104895629399 0.0209791258797 1.961865436 1.97924
STAB1 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
PCDHA8 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
ALK 16 204 5 215 0.011577256357 0.023154512714 3.37254901961 1.93639
CSMD1 49 171 30 190 0.0124709724358 0.0249419448716 1.81481481481 1.9041
AP3D1 14 206 4 216 0.0137981598228 0.0275963196455 3.66990291262 1.86018
TRIO 23 197 10 210 0.0142571706357 0.0285143412714 2.45177664975 1.84597
PCDHA11 20 200 8 212 0.0150214028315 0.0300428056629 2.65 1.82329
VSIG10 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
SLC18A3 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
REC8 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
PVR 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
MOK 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
LHX6 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
HHIPL2 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
GPR45 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
FLI1 6 214 0 220 0.015094778471 0.0301895569419 inf 1.82117
THBS2 12 208 3 217 0.0160811773387 0.0321623546774 4.17307692308 1.79368
TGM6 12 208 3 217 0.0160811773387 0.0321623546774 4.17307692308 1.79368
CTNND2 12 208 3 217 0.0160811773387 0.0321623546774 4.17307692308 1.79368
SYNJ1 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
SIM1 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
PLXND1 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
PCDHB3 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
HCLS1 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
FBXL7 10 210 2 218 0.0180158825295 0.036031765059 5.19047619048 1.74434
APBA2 15 205 5 215 0.018456477763 0.036912955526 3.14634146341 1.73385
SLC35F3 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
PRDM2 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
PCDHB8 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
PCDHA2 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
PARP1 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
PACSIN2 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
NALCN 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
HDGFL1 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
GJA8 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
CTNNA2 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
CHST11 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
BUB1 8 212 1 219 0.0185780145072 0.0371560290144 8.2641509434 1.731
TNC 25 195 12 208 0.0190212373535 0.038042474707 2.22222222222 1.72076
ZNF814 51 169 33 187 0.0193879565328 0.0387759130657 1.7100591716 1.71247
ZNF469 30 190 16 204 0.0209314339905 0.0418628679809 2.01315789474 1.6792
AHNAK 26 194 13 207 0.021485489966 0.042970979932 2.13402061856 1.66785
SYNPO2 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
RTL1 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
RIMS1 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
PCDHGB3 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
PCDHB10 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
MAP2 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
MAGI2 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
HRC 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
ADGRE1 13 207 4 216 0.0223930492945 0.0447860985891 3.39130434783 1.64989
OTOF 19 201 8 212 0.0225933167436 0.0451866334872 2.50497512438 1.64602
FREM2 19 201 8 212 0.0225933167436 0.0451866334872 2.50497512438 1.64602
CNTNAP2 19 201 8 212 0.0225933167436 0.0451866334872 2.50497512438 1.64602
NCOR2 36 184 21 199 0.023067517168 0.0461350343359 1.85403726708 1.637
SORCS1 16 204 6 214 0.0233573073327 0.0467146146653 2.79738562092 1.63158
PLEKHG4B 16 204 6 214 0.0233573073327 0.0467146146653 2.79738562092 1.63158
LRP1B 27 193 14 206 0.0239825774371 0.0479651548742 2.05847520355 1.6201
XIRP2 23 197 11 209 0.0240824903846 0.0481649807692 2.21827411168 1.6183
RYR2 37 183 22 198 0.0247262999395 0.049452599879 1.81967213115 1.60684
SLITRK5 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
SLC9A3 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
SLC8A3 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
PCDHB5 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
NEDD9 11 209 3 217 0.0267519656532 0.0535039313064 3.80701754386 1.57264
CACNA1E 17 203 7 213 0.0283941919242 0.0567883838484 2.54820548909 1.54677
PLCB2 14 206 5 215 0.028975675544 0.0579513510881 2.92233009709 1.53797
LRP2 25 195 13 207 0.0303608613258 0.0607217226516 2.04142011834 1.51769
APOB 25 195 13 207 0.0303608613258 0.0607217226516 2.04142011834 1.51769
WNK2 21 199 10 210 0.0304786400499 0.0609572800998 2.21608040201 1.516
SPEG 21 199 10 210 0.0304786400499 0.0609572800998 2.21608040201 1.516
ZNF385D 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
VASH1 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
TLR8 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
SLC46A3 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
SLC15A1 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
PRSS54 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
PCDHGA2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
MMP20 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
LMOD2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
KRT31 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
KLHL14 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
INF2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
HRG 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
GIMAP7 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
FAM110B 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
EIF5B 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
ECE1 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
DLX5 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
CDX4 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
CACNA2D3 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
C9orf50 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
BRWD3 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
BNC2 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
AVPR1A 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
AMPH 5 215 0 220 0.0305405983017 0.0610811966035 inf 1.51512
PXDNL 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
PCDHB2 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
PCDHA10 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
HMHA1 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
GRM7 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
EPB41L4A 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
DOCK4 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
CDON 9 211 2 218 0.0310709033753 0.0621418067507 4.64928909953 1.50765
RYR1 30 190 17 203 0.0315458124817 0.0630916249634 1.88544891641 1.50106
NRXN1 18 202 8 212 0.0334874877132 0.0669749754265 2.36138613861 1.47512
SVEP1 26 194 14 206 0.0335085037158 0.0670170074315 1.97201767305 1.47484
UBE4B 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
TRPC3 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
SLC47A1 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
SLC25A28 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
SLC16A6 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
SLC13A3 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
PTPN6 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
PAPLN 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
NLGN4X 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
MYO16 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
MSC 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
KCNH1 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
IRX1 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
DNAAF5 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
CILP2 7 213 1 219 0.0339148559273 0.0678297118546 7.19718309859 1.46961
