#Gene	MutNorm	NoMutNorm	MutTum	NoMutTumm	pValue1T	pValue2T	OR	Score
TP53 97 123 0 220 6.81458841473e-36 1.36291768295e-35 inf 35.1666
KRAS 96 124 2 218 3.71216952322e-32 7.42433904644e-32 84.3870967742 31.4304
PIK3CA 64 156 1 219 9.60125286651e-21 1.9202505733e-20 89.8461538462 20.0177
BRAF 32 188 0 220 6.90553952665e-11 1.38110790533e-10 inf 10.1608
RYR2 53 167 9 211 4.21113526254e-10 8.42227052508e-10 7.44045242848 9.3756
SMAD4 25 195 1 219 2.06255390871e-07 4.12510781741e-07 28.0769230769 6.68559
FAT4 66 154 25 195 9.16004794497e-07 1.83200958899e-06 3.34285714286 6.0381
SYNE1 96 124 50 170 2.29557377066e-06 4.59114754132e-06 2.63225806452 5.63911
CSMD3 45 175 13 207 4.0049243608e-06 8.00984872159e-06 4.09450549451 5.39741
TRPS1 26 194 4 216 1.68079151868e-05 3.36158303736e-05 7.23711340206 4.77449
USP9X 21 199 2 218 2.18393829842e-05 4.36787659685e-05 11.5025125628 4.66076
CTNNB1 18 202 1 219 2.75742760651e-05 5.51485521302e-05 19.5148514851 4.5595
DCAF4L2 14 206 0 220 4.93062148036e-05 9.86124296072e-05 inf 4.3071
ZFHX4 52 168 21 199 5.01552560553e-05 0.000100310512111 2.93310657596 4.29968
SALL4 17 203 1 219 5.44571075035e-05 0.000108914215007 18.3399014778 4.26395
ZNF536 26 194 5 215 5.69945654921e-05 0.000113989130984 5.76288659794 4.24417
GNAS 21 199 3 217 9.54420028334e-05 0.000190884005667 7.63316582915 4.02026
HECW1 25 195 5 215 0.000101302923521 0.000202605847042 5.51282051282 3.99438
TRPC4 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
KCNB1 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
GLUD2 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
BRINP3 13 207 0 220 0.000101708955175 0.000203417910349 inf 3.99264
GRM5 16 204 1 219 0.000106978194851 0.000213956389702 17.1764705882 3.9707
TTN 174 46 138 82 0.000112014615574 0.000224029231147 2.24763705104 3.95073
TSHZ3 30 190 8 212 0.000130920091145 0.00026184018229 4.18421052632 3.88299
OBSCN 104 116 66 154 0.000140133715493 0.000280267430986 2.09195402299 3.85346
CACNA1E 28 192 7 213 0.000149410919431 0.000298821838863 4.4375 3.82562
FAT3 69 151 36 184 0.000159292717159 0.000318585434319 2.33554083885 3.7978
PCDH17 26 194 6 214 0.000166140459659 0.000332280919318 4.78006872852 3.77952
ZNF814 45 175 18 202 0.000170973088347 0.000341946176693 2.88571428571 3.76707
KCNB2 12 208 0 220 0.000209285734686 0.000418571469372 inf 3.67926
COL12A1 34 186 11 209 0.000212794744758 0.000425589489515 3.47311827957 3.67204
LRRK2 29 191 8 212 0.000220355357385 0.000440710714769 4.02356020942 3.65688
DSCAM 29 191 8 212 0.000220355357385 0.000440710714769 4.02356020942 3.65688
DNAH2 47 173 20 200 0.000245441740324 0.000490883480648 2.71676300578 3.61005
SDK1 51 169 23 197 0.000258119229801 0.000516238459602 2.5847697453 3.58818
MYCBP2 32 188 10 210 0.000258472574952 0.000516945149904 3.57446808511 3.58759
HUWE1 17 203 2 218 0.00028296117473 0.00056592234946 9.12807881773 3.54827
FBXW7 17 203 2 218 0.00028296117473 0.00056592234946 9.12807881773 3.54827
CTNNA2 17 203 2 218 0.00028296117473 0.00056592234946 9.12807881773 3.54827
CACNA1B 25 195 6 214 0.000285921081975 0.00057184216395 4.57264957265 3.54375
DOCK2 23 197 5 215 0.000311899734989 0.000623799469978 5.02030456853 3.50598
SLIT1 19 201 3 217 0.000319368062924 0.000638736125848 6.83747927032 3.49571
GRIK2 19 201 3 217 0.000319368062924 0.000638736125848 6.83747927032 3.49571
CNTNAP5 19 201 3 217 0.000319368062924 0.000638736125848 6.83747927032 3.49571
MAP1B 21 199 4 216 0.000325804048611 0.000651608097223 5.69849246231 3.48704
ATRX 21 199 4 216 0.000325804048611 0.000651608097223 5.69849246231 3.48704
ABCA13 67 153 36 184 0.000342730806594 0.000685461613189 2.2381989833 3.46505
PLXNA4 28 192 8 212 0.000367487952618 0.000734975905236 3.86458333333 3.43476
TUBA3C 14 206 1 219 0.000405792462679 0.000811584925359 14.8834951456 3.3917
PHIP 14 206 1 219 0.000405792462679 0.000811584925359 14.8834951456 3.3917
GABRA5 14 206 1 219 0.000405792462679 0.000811584925359 14.8834951456 3.3917
NALCN 26 194 7 213 0.000427846021022 0.000855692042044 4.07805596465 3.36871
STAG1 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
SMC1A 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
GRIA2 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
CDH10 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
ARHGAP36 11 209 0 220 0.00042958650804 0.00085917301608 inf 3.36695
PCLO 55 165 27 193 0.000436151614824 0.000872303229648 2.38271604938 3.36036
DNAH1 44 176 19 201 0.000484927461714 0.000969854923428 2.64473684211 3.31432
DNAH11 61 159 32 188 0.000504400891837 0.00100880178367 2.25393081761 3.29722
TCF7L2 16 204 2 218 0.000527146893629 0.00105429378726 8.54901960784 3.27807
LRFN5 16 204 2 218 0.000527146893629 0.00105429378726 8.54901960784 3.27807
ERBB4 16 204 2 218 0.000527146893629 0.00105429378726 8.54901960784 3.27807
MAP2 22 198 5 215 0.000539840953526 0.00107968190705 4.77777777778 3.26773
ZFHX3 38 182 15 205 0.000554020684378 0.00110804136876 2.85347985348 3.25647
RYR1 53 167 26 194 0.000572572590715 0.00114514518143 2.36803316444 3.24217
IGSF9B 18 202 3 217 0.000576834723999 0.001153669448 6.44554455446 3.23895
CDH2 18 202 3 217 0.000576834723999 0.001153669448 6.44554455446 3.23895
BRWD3 18 202 3 217 0.000576834723999 0.001153669448 6.44554455446 3.23895
ERICH6B 46 174 21 199 0.000659159033601 0.0013183180672 2.50519978106 3.18101
DNAH10 46 174 21 199 0.000659159033601 0.0013183180672 2.50519978106 3.18101
TENM1 30 190 10 210 0.00067851420055 0.0013570284011 3.31578947368 3.16844
AR 36 184 14 206 0.000701429924989 0.00140285984998 2.87888198758 3.15402
PCDHGA5 13 207 1 219 0.000782944579998 0.00156588915999 13.7536231884 3.10627
GRM1 13 207 1 219 0.000782944579998 0.00156588915999 13.7536231884 3.10627
PCDHA2 23 197 6 214 0.000823107710544 0.00164621542109 4.1641285956 3.08454
NAV3 23 197 6 214 0.000823107710544 0.00164621542109 4.1641285956 3.08454
MTOR 23 197 6 214 0.000823107710544 0.00164621542109 4.1641285956 3.08454
ATP10A 28 192 9 211 0.000825233804456 0.00165046760891 3.41898148148 3.08342
CSMD2 37 183 15 205 0.000854441486019 0.00170888297204 2.76320582878 3.06832
PXDNL 31 189 11 209 0.000878223821015 0.00175644764203 3.1164021164 3.05639
LRFN2 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
KCNQ5 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
KCNA1 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
GRM7 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
CYP7B1 10 210 0 220 0.000879629516463 0.00175925903293 inf 3.0557
RIMS1 21 199 5 215 0.000925300456901 0.0018506009138 4.53768844221 3.03372
NBEA 21 199 5 215 0.000925300456901 0.0018506009138 4.53768844221 3.03372
CACNA1H 41 179 18 202 0.000944616280091 0.00188923256018 2.5704531347 3.02474
