#Gene	MutTum	NoMutTum	MutNorm	NoMutNorm	pValue1T	pValue2T	OR	Score
KRAS	194	262	1	455	1.72818263224e-68	3.45636526448e-68	336.908396947	67.7624
TP53	183	273	1	455	8.99148282973e-64	1.79829656595e-63	305.0	63.0462
PIK3CA	138	318	0	456	1.3457663619e-47	2.69153272381e-47	inf	46.871
TTN	295	161	115	341	6.27610643387e-34	1.25522128677e-33	5.43316230084	33.2023
RYR2	106	350	9	447	5.25389368264e-25	1.05077873653e-24	15.0419047619	24.2795
FAT4	125	331	19	437	8.76208003846e-24	1.75241600769e-23	8.68580060423	23.0574
BRAF	62	394	0	456	2.34254486219e-20	4.68508972439e-20	inf	19.6303
SYNE1	160	296	50	406	1.16321875887e-18	2.32643751773e-18	4.38918918919	17.9343
CSMD3	88	368	11	445	6.10426312157e-18	1.22085262432e-17	9.67391304348	17.2144
PCDH17	57	399	1	455	3.36837922621e-17	6.73675845242e-17	65.0	16.4726
PCLO	104	352	20	436	4.06229313224e-17	8.12458626447e-17	6.44090909091	16.3912
MUC16	187	269	75	381	1.01684061327e-16	2.03368122654e-16	3.53144981413	15.9927
OBSCN	131	325	38	418	5.39138237645e-16	1.07827647529e-15	4.43384615385	15.2683
CACNA1E	65	391	5	451	1.3459005199e-15	2.69180103979e-15	14.9948849105	14.871
DNAH5	102	354	22	434	1.46408164438e-15	2.92816328875e-15	5.68412942989	14.8344
ZFHX4	93	363	18	438	3.45997437237e-15	6.91994874474e-15	6.23415977961	14.4609
TRPS1	53	403	2	454	9.64166870078e-15	1.92833374016e-14	29.8535980149	14.0158
CSMD1	97	359	21	435	9.78925888135e-15	1.95785177627e-14	5.59689614007	14.0093
FBXW7	52	404	2	454	1.97458427013e-14	3.94916854027e-14	29.2178217822	13.7045
CCDC168	85	371	16	440	4.20157908475e-14	8.4031581695e-14	6.30053908356	13.3766
SDK1	82	374	15	441	7.747210488e-14	1.5494420976e-13	6.44598930481	13.1109
NALCN	50	406	2	454	8.23255426266e-14	1.64651085253e-13	27.9556650246	13.0845
FRY	50	406	2	454	8.23255426266e-14	1.64651085253e-13	27.9556650246	13.0845
UNC80	53	403	3	453	9.69675132329e-14	1.93935026466e-13	19.858560794	13.0134
RYR3	91	365	20	436	1.15341996343e-13	2.30683992685e-13	5.43506849315	12.938
RYR1	87	369	18	438	1.32378573412e-13	2.64757146825e-13	5.73712737127	12.8782
HECW1	55	401	4	452	1.89663816092e-13	3.79327632184e-13	15.4987531172	12.722
PCDH10	45	411	1	455	2.23842321918e-13	4.47684643836e-13	49.8175182482	12.6501
DSCAM	56	400	5	451	6.27760451698e-13	1.2555209034e-12	12.628	12.2022
TSHZ3	47	409	2	454	6.90254061093e-13	1.38050812219e-12	26.0855745721	12.161
HUWE1	39	417	0	456	7.78563387622e-13	1.55712677524e-12	inf	12.1087
LRP1B	100	356	27	429	8.05854052605e-13	1.61170810521e-12	4.4631710362	12.0937
PTPRS	46	410	2	454	1.39645388417e-12	2.79290776833e-12	25.4682926829	11.855
BRINP3	38	418	0	456	1.62790526503e-12	3.25581053006e-12	inf	11.7884
PTPRT	57	399	6	450	1.81485467225e-12	3.62970934451e-12	10.7142857143	11.7412
PCDH11X	48	408	3	453	3.10654417513e-12	6.21308835027e-12	17.7647058824	11.5077
TMEM132D	37	419	0	456	3.39956350095e-12	6.7991270019e-12	inf	11.4686
TRRAP	50	406	4	452	5.66912305661e-12	1.13382461132e-11	13.9162561576	11.2465
FAT3	103	353	31	425	5.74386962083e-12	1.14877392416e-11	4.00027414786	11.2408
SMAD4	40	416	1	455	8.15089765412e-12	1.63017953082e-11	43.75	11.0888
LRP2	87	369	22	434	9.1123240417e-12	1.82246480834e-11	4.65114560237	11.0404
RIMS1	43	413	2	454	1.14150976236e-11	2.28301952472e-11	23.6343825666	10.9425
KIAA1109	63	393	10	446	1.48778408694e-11	2.97556817387e-11	7.14961832061	10.8275
SCN3A	39	417	1	455	1.66387825004e-11	3.32775650008e-11	42.5539568345	10.7789
KMT2B	45	411	3	453	2.41598000059e-11	4.83196000118e-11	16.5328467153	10.6169
CDH2	34	422	0	456	3.07310596843e-11	6.14621193687e-11	inf	10.5124
SPTA1	91	365	26	430	4.30760875799e-11	8.61521751599e-11	4.12328767123	10.3658
